,Found,Truth
AZ_H11,1,beta
AZ_H2,1,beta
AZ_H6,1,beta
HP1502401_A10,1,beta
HP1502401_A6,1,beta
HP1502401_A7,1,beta
HP1502401_B1,1,beta
HP1502401_B14,1,beta
HP1502401_B21,1,beta
HP1502401_B23,1,beta
HP1502401_B24,1,beta
HP1502401_B7,1,beta
HP1502401_C10,1,beta
HP1502401_C18,1,beta
HP1502401_C21,1,beta
HP1502401_C6,1,beta
HP1502401_C7,1,beta
HP1502401_D13,1,beta
HP1502401_D22,1,beta
HP1502401_D3,1,beta
HP1502401_D6,1,beta
HP1502401_D7,1,beta
HP1502401_E10,1,beta
HP1502401_E19,1,beta
HP1502401_F16,1,beta
HP1502401_F21,1,beta
HP1502401_F22,1,beta
HP1502401_F24,1,beta
HP1502401_F9,1,beta
HP1502401_G14,1,beta
HP1502401_G22,1,beta
HP1502401_G24,1,beta
HP1502401_G4,1,beta
HP1502401_G5,1,beta
HP1502401_G6,1,beta
HP1502401_H11,1,beta
HP1502401_H12,1,beta
HP1502401_H19,1,beta
HP1502401_H22,1,beta
HP1502401_I24,1,beta
HP1502401_I6,1,beta
HP1502401_J10,1,beta
HP1502401_J12,1,beta
HP1502401_J22,1,beta
HP1502401_L10,1,beta
HP1502401_M12,1,beta
HP1502401_M2,1,beta
HP1502401_N1,1,beta
HP1502401_N21,1,beta
HP1502401_N8,1,beta
HP1502401_O16,1,beta
HP1504101T2D_B6,1,beta
HP1504101T2D_C18,1,beta
HP1504101T2D_D9,1,beta
HP1504101T2D_E15,1,beta
HP1504101T2D_E16,1,beta
HP1504101T2D_E24,1,beta
HP1504101T2D_H23,1,beta
HP1504101T2D_H6,1,beta
HP1504101T2D_N10,1,beta
HP1504101T2D_O12,1,beta
HP1504901_A16,1,beta
HP1504901_A3,1,beta
HP1504901_B10,1,beta
HP1504901_B11,1,beta
HP1504901_B22,1,beta
HP1504901_C17,1,beta
HP1504901_D7,1,beta
HP1504901_E16,1,beta
HP1504901_E21,1,beta
HP1504901_F11,1,beta
HP1504901_F13,1,beta
HP1504901_F17,1,beta
HP1504901_G12,1,beta
HP1504901_G18,1,beta
HP1504901_G21,1,beta
HP1504901_G4,1,beta
HP1504901_G8,1,beta
HP1504901_H17,1,beta
HP1504901_H18,1,beta
HP1504901_H22,1,beta
HP1504901_H5,1,beta
HP1504901_J3,1,beta
HP1504901_J7,1,beta
HP1504901_K19,1,beta
HP1504901_K22,1,beta
HP1504901_L17,1,beta
HP1504901_L20,1,beta
HP1504901_L22,1,beta
HP1504901_L8,1,beta
HP1504901_N13,1,beta
HP1504901_N8,1,beta
HP1504901_O18,1,beta
HP1504901_O20,1,beta
HP1504901_O8,1,beta
HP1504901_P14,1,beta
HP1506401_A15,1,beta
HP1506401_A17,1,beta
HP1506401_A24,1,beta
HP1506401_B11,1,beta
HP1506401_C15,1,beta
HP1506401_C4,1,beta
HP1506401_C8,1,beta
HP1506401_C9,1,beta
HP1506401_D13,1,beta
HP1506401_F11,1,beta
HP1506401_F12,1,beta
HP1506401_F18,1,beta
HP1506401_F24,1,beta
HP1506401_F8,1,beta
HP1506401_F9,1,beta
HP1506401_G12,1,beta
HP1506401_G6,1,beta
HP1506401_G9,1,beta
HP1506401_I11,1,beta
HP1506401_I12,1,beta
HP1506401_I23,1,beta
HP1506401_J17,1,beta
HP1506401_J19,1,beta
HP1506401_K1,1,beta
HP1506401_K21,1,beta
HP1506401_L5,1,beta
HP1506401_N11,1,beta
HP1506401_N20,1,beta
HP1506401_O10,1,beta
HP1506401_O11,1,beta
HP1506401_P12,1,beta
HP1506401_P14,1,beta
HP1507101_A12,1,beta
HP1507101_A6,1,beta
HP1507101_B5,1,beta
HP1507101_C12,1,beta
HP1507101_C7,1,beta
HP1507101_D22,1,beta
HP1507101_D23,1,beta
HP1507101_D3,1,beta
HP1507101_D6,1,beta
HP1507101_E14,1,beta
HP1507101_F11,1,beta
HP1507101_F14,1,beta
HP1507101_F23,1,beta
HP1507101_F4,1,beta
HP1507101_H17,1,beta
HP1507101_H4,1,beta
HP1507101_I12,1,beta
HP1507101_I18,1,beta
HP1507101_J19,1,beta
HP1507101_J20,1,beta
HP1507101_K15,1,beta
HP1507101_K23,1,beta
HP1507101_L16,1,beta
HP1507101_L22,1,beta
HP1507101_L24,1,beta
HP1507101_M8,1,beta
HP1507101_N13,1,beta
HP1507101_N5,1,beta
HP1507101_N6,1,beta
HP1507101_O14,1,beta
HP1507101_O19,1,beta
HP1507101_O3,1,beta
HP1507101_O8,1,beta
HP1507101_P2,1,beta
HP1508501T2D_A10,1,beta
HP1508501T2D_B16,1,beta
HP1508501T2D_B20,1,beta
HP1508501T2D_C14,1,beta
HP1508501T2D_C17,1,beta
HP1508501T2D_C4,1,beta
HP1508501T2D_F1,1,beta
HP1508501T2D_F3,1,beta
HP1508501T2D_F7,1,beta
HP1508501T2D_G5,1,beta
HP1508501T2D_I8,1,beta
HP1508501T2D_J6,1,beta
HP1508501T2D_M14,1,beta
HP1508501T2D_O4,1,beta
HP1509101_B13,1,beta
HP1509101_C23,1,beta
HP1509101_D18,1,beta
HP1509101_E22,1,beta
HP1509101_G9,1,beta
HP1509101_J19,1,beta
HP1509101_K9,1,beta
HP1509101_L14,1,beta
HP1509101_N23,1,beta
HP1509101_O18,1,beta
HP1525301T2D_D23,1,beta
HP1525301T2D_F15,1,beta
HP1525301T2D_F23,1,beta
HP1525301T2D_G8,1,beta
HP1525301T2D_H10,1,beta
HP1525301T2D_I6,1,beta
HP1525301T2D_L14,1,beta
HP1525301T2D_L17,1,beta
HP1525301T2D_M7,1,beta
HP1525301T2D_N18,1,beta
HP1525301T2D_N3,1,beta
HP1526901T2D_A1,1,beta
HP1526901T2D_A14,1,beta
HP1526901T2D_A19,1,beta
HP1526901T2D_A2,1,beta
HP1526901T2D_A5,1,beta
HP1526901T2D_B1,1,beta
HP1526901T2D_B10,1,beta
HP1526901T2D_B4,1,beta
HP1526901T2D_B9,1,beta
HP1526901T2D_C10,1,beta
HP1526901T2D_C11,1,beta
HP1526901T2D_C17,1,beta
HP1526901T2D_C3,1,beta
HP1526901T2D_D17,1,beta
HP1526901T2D_D19,1,beta
HP1526901T2D_E11,1,beta
HP1526901T2D_E2,1,beta
HP1526901T2D_F17,1,beta
HP1526901T2D_F18,1,beta
HP1526901T2D_F5,1,beta
HP1526901T2D_G17,1,beta
HP1526901T2D_G21,1,beta
HP1526901T2D_G4,1,beta
HP1526901T2D_H10,1,beta
HP1526901T2D_H20,1,beta
HP1526901T2D_H22,1,beta
HP1526901T2D_H24,1,beta
HP1526901T2D_H4,1,beta
HP1526901T2D_I13,1,beta
HP1526901T2D_I20,1,beta
HP1526901T2D_I22,1,beta
HP1526901T2D_I3,1,beta
HP1526901T2D_J21,1,beta
HP1526901T2D_J5,1,beta
HP1526901T2D_J6,1,beta
HP1526901T2D_K20,1,beta
HP1526901T2D_K23,1,beta
HP1526901T2D_K3,1,beta
HP1526901T2D_K7,1,beta
HP1526901T2D_L1,1,beta
HP1526901T2D_L4,1,beta
HP1526901T2D_L5,1,beta
HP1526901T2D_L6,1,beta
HP1526901T2D_M15,1,beta
HP1526901T2D_M2,1,beta
HP1526901T2D_N1,1,beta
HP1526901T2D_N12,1,beta
HP1526901T2D_N13,1,beta
HP1526901T2D_N23,1,beta
HP1526901T2D_N3,1,beta
HP1526901T2D_O1,1,beta
HP1526901T2D_O13,1,beta
HP1526901T2D_O14,1,beta
HP1526901T2D_O15,1,beta
HP1526901T2D_O17,1,beta
HP1526901T2D_O24,1,beta
HP1526901T2D_O8,1,beta
HP1526901T2D_P10,1,beta
HP1526901T2D_P11,1,beta
HP1526901T2D_P17,1,beta
HP1526901T2D_P18,1,beta
HP1526901T2D_P4,1,beta
HP1526901T2D_P7,1,beta
HP1526901T2D_P9,1,beta
HP1502401_E22,1,co-expression
HP1502401_M20,1,co-expression
HP1502401_O7,1,co-expression
HP1504101T2D_C16,1,co-expression
HP1504901_G16,1,co-expression
HP1504901_J15,1,co-expression
HP1509101_P7,1,co-expression
HP1525301T2D_M14,1,co-expression
HP1526901T2D_A13,1,co-expression
HP1526901T2D_A23,1,co-expression
HP1526901T2D_H14,1,co-expression
HP1526901T2D_I5,1,co-expression
HP1507101_F12,1,delta
AZ_E1,1,unclassified endocrine
HP1502401_B22,1,unclassified endocrine
HP1502401_K19,1,unclassified endocrine
HP1506401_A14,1,unclassified endocrine
HP1506401_E4,1,unclassified endocrine
HP1525301T2D_M19,1,unclassified endocrine
AZ_E3,2,MHC class II
HP1508501T2D_C9,2,MHC class II
HP1508501T2D_F14,2,MHC class II
HP1525301T2D_I11,2,MHC class II
HP1526901T2D_G11,2,MHC class II
AZ_F5,2,PSC
HP1502401_H18,2,PSC
HP1504101T2D_F18,2,PSC
HP1504101T2D_P3,2,PSC
HP1504901_A22,2,PSC
HP1504901_B24,2,PSC
HP1504901_E9,2,PSC
HP1504901_I19,2,PSC
HP1504901_J18,2,PSC
HP1504901_J24,2,PSC
HP1504901_M11,2,PSC
HP1504901_M19,2,PSC
HP1504901_N21,2,PSC
HP1504901_P9,2,PSC
HP1506401_B15,2,PSC
HP1506401_B20,2,PSC
HP1507101_D9,2,PSC
HP1507101_G2,2,PSC
HP1507101_J12,2,PSC
HP1507101_K13,2,PSC
HP1507101_K20,2,PSC
HP1507101_L1,2,PSC
HP1508501T2D_A8,2,PSC
HP1508501T2D_C12,2,PSC
HP1508501T2D_E1,2,PSC
HP1508501T2D_E20,2,PSC
HP1508501T2D_H5,2,PSC
HP1508501T2D_I19,2,PSC
HP1508501T2D_I3,2,PSC
HP1508501T2D_J2,2,PSC
HP1508501T2D_L10,2,PSC
HP1508501T2D_L15,2,PSC
HP1508501T2D_M10,2,PSC
HP1508501T2D_M16,2,PSC
HP1509101_B17,2,PSC
HP1509101_P23,2,PSC
HP1525301T2D_B6,2,PSC
HP1525301T2D_D21,2,PSC
HP1525301T2D_E12,2,PSC
HP1525301T2D_E24,2,PSC
HP1525301T2D_E5,2,PSC
HP1525301T2D_F24,2,PSC
HP1525301T2D_F7,2,PSC
HP1525301T2D_J17,2,PSC
HP1525301T2D_K10,2,PSC
HP1525301T2D_L8,2,PSC
HP1525301T2D_M2,2,PSC
HP1525301T2D_O9,2,PSC
HP1525301T2D_P16,2,PSC
HP1526901T2D_E15,2,PSC
HP1526901T2D_I9,2,PSC
HP1526901T2D_O2,2,PSC
HP1526901T2D_P13,2,PSC
HP1502401_J16,2,mast
HP1502401_J7,2,mast
HP1502401_M17,2,mast
HP1502401_O9,2,mast
HP1508501T2D_H12,2,mast
HP1508501T2D_M1,2,mast
HP1526901T2D_O12,2,mast
HP1504101T2D_H7,2,unclassified
HP1504901_C2,2,unclassified
AZ_A5,3,ductal
AZ_C3,3,ductal
AZ_C9,3,ductal
AZ_F9,3,ductal
HP1502401_C12,3,ductal
HP1502401_D18,3,ductal
HP1502401_D4,3,ductal
HP1502401_G23,3,ductal
HP1502401_H21,3,ductal
HP1502401_H23,3,ductal
HP1502401_I2,3,ductal
HP1502401_I21,3,ductal
HP1502401_J15,3,ductal
HP1502401_J17,3,ductal
HP1502401_J19,3,ductal
HP1502401_J24,3,ductal
HP1502401_L18,3,ductal
HP1502401_L5,3,ductal
HP1502401_M16,3,ductal
HP1502401_N10,3,ductal
HP1502401_N16,3,ductal
HP1502401_N18,3,ductal
HP1502401_O10,3,ductal
HP1504101T2D_B8,3,ductal
HP1504101T2D_H18,3,ductal
HP1504101T2D_O24,3,ductal
HP1504901_B14,3,ductal
HP1504901_E6,3,ductal
HP1504901_F8,3,ductal
HP1504901_G11,3,ductal
HP1504901_I10,3,ductal
HP1504901_J5,3,ductal
HP1504901_K23,3,ductal
HP1504901_L16,3,ductal
HP1504901_N18,3,ductal
HP1504901_O11,3,ductal
HP1504901_O14,3,ductal
HP1504901_P11,3,ductal
HP1504901_P7,3,ductal
HP1506401_A12,3,ductal
HP1506401_A18,3,ductal
HP1506401_A20,3,ductal
HP1506401_A4,3,ductal
HP1506401_B17,3,ductal
HP1506401_B23,3,ductal
HP1506401_B24,3,ductal
HP1506401_C16,3,ductal
HP1506401_C17,3,ductal
HP1506401_D1,3,ductal
HP1506401_D15,3,ductal
HP1506401_D17,3,ductal
HP1506401_D2,3,ductal
HP1506401_D7,3,ductal
HP1506401_D8,3,ductal
HP1506401_E17,3,ductal
HP1506401_E6,3,ductal
HP1506401_F10,3,ductal
HP1506401_F19,3,ductal
HP1506401_F21,3,ductal
HP1506401_F23,3,ductal
HP1506401_G18,3,ductal
HP1506401_G19,3,ductal
HP1506401_G2,3,ductal
HP1506401_G20,3,ductal
HP1506401_G21,3,ductal
HP1506401_G23,3,ductal
HP1506401_H2,3,ductal
HP1506401_H23,3,ductal
HP1506401_H4,3,ductal
HP1506401_H6,3,ductal
HP1506401_H7,3,ductal
HP1506401_H9,3,ductal
HP1506401_I21,3,ductal
HP1506401_I24,3,ductal
HP1506401_I4,3,ductal
HP1506401_J20,3,ductal
HP1506401_J21,3,ductal
HP1506401_J22,3,ductal
HP1506401_J5,3,ductal
HP1506401_J7,3,ductal
HP1506401_J8,3,ductal
HP1506401_K16,3,ductal
HP1506401_K17,3,ductal
HP1506401_K19,3,ductal
HP1506401_K4,3,ductal
HP1506401_L1,3,ductal
HP1506401_L10,3,ductal
HP1506401_L13,3,ductal
HP1506401_L20,3,ductal
HP1506401_L21,3,ductal
HP1506401_L4,3,ductal
HP1506401_M11,3,ductal
HP1506401_M16,3,ductal
HP1506401_M21,3,ductal
HP1506401_N10,3,ductal
HP1506401_N16,3,ductal
HP1506401_N17,3,ductal
HP1506401_O2,3,ductal
HP1506401_O4,3,ductal
HP1506401_O8,3,ductal
HP1506401_P1,3,ductal
HP1506401_P11,3,ductal
HP1506401_P21,3,ductal
HP1506401_P22,3,ductal
HP1506401_P4,3,ductal
HP1506401_P5,3,ductal
HP1507101_F15,3,ductal
HP1507101_G10,3,ductal
HP1507101_H16,3,ductal
HP1507101_J15,3,ductal
HP1507101_K16,3,ductal
HP1507101_N8,3,ductal
HP1507101_O12,3,ductal
HP1507101_P1,3,ductal
HP1508501T2D_A17,3,ductal
HP1508501T2D_A7,3,ductal
HP1508501T2D_B17,3,ductal
HP1508501T2D_B18,3,ductal
HP1508501T2D_B19,3,ductal
HP1508501T2D_C11,3,ductal
HP1508501T2D_C15,3,ductal
HP1508501T2D_C18,3,ductal
HP1508501T2D_C19,3,ductal
HP1508501T2D_C2,3,ductal
HP1508501T2D_D22,3,ductal
HP1508501T2D_E11,3,ductal
HP1508501T2D_E15,3,ductal
HP1508501T2D_E16,3,ductal
HP1508501T2D_E17,3,ductal
HP1508501T2D_E7,3,ductal
HP1508501T2D_E9,3,ductal
HP1508501T2D_F12,3,ductal
HP1508501T2D_F15,3,ductal
HP1508501T2D_F4,3,ductal
HP1508501T2D_F8,3,ductal
HP1508501T2D_G1,3,ductal
HP1508501T2D_G13,3,ductal
HP1508501T2D_G14,3,ductal
HP1508501T2D_G2,3,ductal
HP1508501T2D_G3,3,ductal
HP1508501T2D_H13,3,ductal
HP1508501T2D_H14,3,ductal
HP1508501T2D_H17,3,ductal
HP1508501T2D_I1,3,ductal
HP1508501T2D_I11,3,ductal
HP1508501T2D_I12,3,ductal
HP1508501T2D_I13,3,ductal
HP1508501T2D_I17,3,ductal
HP1508501T2D_I21,3,ductal
HP1508501T2D_I4,3,ductal
HP1508501T2D_J11,3,ductal
HP1508501T2D_J13,3,ductal
HP1508501T2D_J14,3,ductal
HP1508501T2D_J15,3,ductal
HP1508501T2D_J16,3,ductal
HP1508501T2D_J22,3,ductal
HP1508501T2D_K15,3,ductal
HP1508501T2D_K2,3,ductal
HP1508501T2D_K22,3,ductal
HP1508501T2D_K23,3,ductal
HP1508501T2D_K3,3,ductal
HP1508501T2D_K7,3,ductal
HP1508501T2D_L11,3,ductal
HP1508501T2D_L20,3,ductal
HP1508501T2D_L21,3,ductal
HP1508501T2D_L23,3,ductal
HP1508501T2D_L5,3,ductal
HP1508501T2D_L9,3,ductal
HP1508501T2D_M15,3,ductal
HP1508501T2D_M17,3,ductal
HP1508501T2D_M22,3,ductal
HP1508501T2D_M23,3,ductal
HP1508501T2D_M3,3,ductal
HP1508501T2D_N1,3,ductal
HP1508501T2D_N10,3,ductal
HP1508501T2D_N15,3,ductal
HP1508501T2D_N17,3,ductal
HP1508501T2D_N19,3,ductal
HP1508501T2D_N2,3,ductal
HP1508501T2D_N22,3,ductal
HP1508501T2D_N23,3,ductal
HP1508501T2D_N6,3,ductal
HP1508501T2D_N7,3,ductal
HP1508501T2D_N8,3,ductal
HP1508501T2D_N9,3,ductal
HP1508501T2D_O12,3,ductal
HP1508501T2D_O3,3,ductal
HP1508501T2D_O8,3,ductal
HP1508501T2D_O9,3,ductal
HP1509101_A8,3,ductal
HP1509101_B19,3,ductal
HP1509101_B23,3,ductal
HP1509101_C21,3,ductal
HP1509101_D17,3,ductal
HP1509101_D23,3,ductal
HP1509101_E3,3,ductal
HP1509101_F22,3,ductal
HP1509101_F7,3,ductal
HP1509101_H20,3,ductal
HP1509101_I12,3,ductal
HP1509101_J22,3,ductal
HP1509101_J23,3,ductal
HP1509101_J9,3,ductal
HP1509101_K10,3,ductal
HP1509101_K15,3,ductal
HP1509101_K19,3,ductal
HP1509101_L13,3,ductal
HP1509101_L16,3,ductal
HP1509101_O14,3,ductal
HP1509101_P17,3,ductal
HP1509101_P9,3,ductal
HP1525301T2D_A1,3,ductal
HP1525301T2D_A12,3,ductal
HP1525301T2D_A13,3,ductal
HP1525301T2D_A14,3,ductal
HP1525301T2D_A15,3,ductal
HP1525301T2D_A17,3,ductal
HP1525301T2D_A19,3,ductal
HP1525301T2D_B10,3,ductal
HP1525301T2D_B14,3,ductal
HP1525301T2D_B21,3,ductal
HP1525301T2D_B24,3,ductal
HP1525301T2D_B3,3,ductal
HP1525301T2D_C11,3,ductal
HP1525301T2D_C13,3,ductal
HP1525301T2D_C15,3,ductal
HP1525301T2D_C17,3,ductal
HP1525301T2D_C19,3,ductal
HP1525301T2D_C21,3,ductal
HP1525301T2D_C22,3,ductal
HP1525301T2D_C24,3,ductal
HP1525301T2D_C3,3,ductal
HP1525301T2D_C4,3,ductal
HP1525301T2D_C6,3,ductal
HP1525301T2D_C9,3,ductal
HP1525301T2D_D1,3,ductal
HP1525301T2D_D14,3,ductal
HP1525301T2D_D15,3,ductal
HP1525301T2D_D2,3,ductal
HP1525301T2D_D22,3,ductal
HP1525301T2D_D3,3,ductal
HP1525301T2D_D4,3,ductal
HP1525301T2D_D8,3,ductal
HP1525301T2D_E11,3,ductal
HP1525301T2D_E15,3,ductal
HP1525301T2D_E17,3,ductal
HP1525301T2D_F12,3,ductal
HP1525301T2D_F16,3,ductal
HP1525301T2D_F21,3,ductal
HP1525301T2D_F8,3,ductal
HP1525301T2D_G10,3,ductal
HP1525301T2D_G13,3,ductal
HP1525301T2D_G14,3,ductal
HP1525301T2D_G20,3,ductal
HP1525301T2D_G21,3,ductal
HP1525301T2D_G3,3,ductal
HP1525301T2D_G5,3,ductal
HP1525301T2D_G9,3,ductal
HP1525301T2D_H1,3,ductal
HP1525301T2D_H11,3,ductal
HP1525301T2D_H14,3,ductal
HP1525301T2D_H16,3,ductal
HP1525301T2D_H17,3,ductal
HP1525301T2D_H18,3,ductal
HP1525301T2D_H2,3,ductal
HP1525301T2D_H24,3,ductal
HP1525301T2D_H3,3,ductal
HP1525301T2D_I1,3,ductal
HP1525301T2D_I10,3,ductal
HP1525301T2D_I15,3,ductal
HP1525301T2D_I16,3,ductal
HP1525301T2D_I17,3,ductal
HP1525301T2D_I18,3,ductal
HP1525301T2D_I19,3,ductal
HP1525301T2D_I22,3,ductal
HP1525301T2D_I23,3,ductal
HP1525301T2D_I24,3,ductal
HP1525301T2D_I3,3,ductal
HP1525301T2D_I8,3,ductal
HP1525301T2D_J15,3,ductal
HP1525301T2D_J20,3,ductal
HP1525301T2D_J21,3,ductal
HP1525301T2D_J7,3,ductal
HP1525301T2D_J9,3,ductal
HP1525301T2D_K1,3,ductal
HP1525301T2D_K11,3,ductal
HP1525301T2D_K12,3,ductal
HP1525301T2D_K14,3,ductal
HP1525301T2D_K16,3,ductal
HP1525301T2D_K17,3,ductal
HP1525301T2D_K18,3,ductal
HP1525301T2D_K2,3,ductal
HP1525301T2D_K21,3,ductal
HP1525301T2D_K6,3,ductal
HP1525301T2D_L1,3,ductal
HP1525301T2D_L13,3,ductal
HP1525301T2D_L16,3,ductal
HP1525301T2D_L2,3,ductal
HP1525301T2D_L20,3,ductal
HP1525301T2D_L23,3,ductal
HP1525301T2D_L4,3,ductal
HP1525301T2D_L6,3,ductal
HP1525301T2D_M11,3,ductal
HP1525301T2D_M12,3,ductal
HP1525301T2D_M15,3,ductal
HP1525301T2D_M20,3,ductal
HP1525301T2D_M22,3,ductal
HP1525301T2D_M6,3,ductal
HP1525301T2D_M9,3,ductal
HP1525301T2D_N1,3,ductal
HP1525301T2D_N11,3,ductal
HP1525301T2D_N12,3,ductal
HP1525301T2D_N14,3,ductal
HP1525301T2D_N16,3,ductal
HP1525301T2D_N20,3,ductal
HP1525301T2D_N4,3,ductal
HP1525301T2D_N5,3,ductal
HP1525301T2D_N6,3,ductal
HP1525301T2D_O14,3,ductal
HP1525301T2D_O16,3,ductal
HP1525301T2D_O17,3,ductal
HP1525301T2D_O20,3,ductal
HP1525301T2D_O22,3,ductal
HP1525301T2D_O23,3,ductal
HP1525301T2D_O24,3,ductal
HP1525301T2D_O7,3,ductal
HP1525301T2D_P1,3,ductal
HP1525301T2D_P13,3,ductal
HP1525301T2D_P14,3,ductal
HP1525301T2D_P19,3,ductal
HP1525301T2D_P2,3,ductal
HP1525301T2D_P20,3,ductal
HP1525301T2D_P21,3,ductal
HP1525301T2D_P23,3,ductal
HP1525301T2D_P4,3,ductal
HP1525301T2D_P5,3,ductal
HP1526901T2D_A11,3,ductal
HP1526901T2D_A21,3,ductal
HP1526901T2D_A24,3,ductal
HP1526901T2D_B23,3,ductal
HP1526901T2D_B24,3,ductal
HP1526901T2D_B3,3,ductal
HP1526901T2D_B5,3,ductal
HP1526901T2D_C14,3,ductal
HP1526901T2D_C20,3,ductal
HP1526901T2D_C22,3,ductal
HP1526901T2D_C23,3,ductal
HP1526901T2D_D12,3,ductal
HP1526901T2D_D2,3,ductal
HP1526901T2D_D22,3,ductal
HP1526901T2D_D3,3,ductal
HP1526901T2D_D4,3,ductal
HP1526901T2D_E1,3,ductal
HP1526901T2D_E14,3,ductal
HP1526901T2D_E22,3,ductal
HP1526901T2D_E23,3,ductal
HP1526901T2D_E9,3,ductal
HP1526901T2D_F15,3,ductal
HP1526901T2D_F16,3,ductal
HP1526901T2D_F22,3,ductal
HP1526901T2D_F24,3,ductal
HP1526901T2D_F8,3,ductal
HP1526901T2D_G22,3,ductal
HP1526901T2D_G24,3,ductal
HP1526901T2D_H21,3,ductal
HP1526901T2D_H5,3,ductal
HP1526901T2D_H8,3,ductal
HP1526901T2D_H9,3,ductal
HP1526901T2D_I1,3,ductal
HP1526901T2D_J11,3,ductal
HP1526901T2D_J12,3,ductal
HP1526901T2D_J18,3,ductal
HP1526901T2D_J3,3,ductal
HP1526901T2D_K1,3,ductal
HP1526901T2D_K19,3,ductal
HP1526901T2D_K4,3,ductal
HP1526901T2D_M14,3,ductal
HP1526901T2D_M20,3,ductal
HP1526901T2D_M8,3,ductal
HP1526901T2D_N11,3,ductal
HP1526901T2D_N21,3,ductal
HP1526901T2D_O4,3,ductal
HP1526901T2D_O5,3,ductal
HP1508501T2D_F22,3,unclassified endocrine
HP1525301T2D_M23,3,unclassified endocrine
AZ_B11,4,co-expression
AZ_F7,4,co-expression
HP1504901_B13,4,co-expression
HP1504901_B7,4,co-expression
HP1504901_E10,4,co-expression
HP1504901_I23,4,co-expression
HP1506401_B8,4,co-expression
