,Found,Truth
DLL1PXM.p8c7r1,0,DLL1pPXM
DLL1PXM.p8c7r2,0,DLL1pPXM
DLL1PXM.p8c7r3,0,DLL1pPXM
DLL1PXM.p8c7r4,0,DLL1pPXM
DLL1PXM.p8c7r7,0,DLL1pPXM
DLL1PXM.p8c7r8,0,DLL1pPXM
DLL1PXM.p8c8r1,0,DLL1pPXM
DLL1PXM.p8c8r2,0,DLL1pPXM
DLL1PXM.p8c8r5,0,DLL1pPXM
DLL1PXM.p8c8r6,0,DLL1pPXM
DLL1PXM.p8c8r7,0,DLL1pPXM
DLL1PXM.p8c8r8,0,DLL1pPXM
DLL1PXM.p8c9r2,0,DLL1pPXM
DLL1PXM.p8c9r4,0,DLL1pPXM
DLL1PXM.p8c9r5,0,DLL1pPXM
DLL1PXM.p8c9r6,0,DLL1pPXM
DLL1PXM.p8c9r8,0,DLL1pPXM
H7hESC.p7c10r3,1,H7hESC
H7hESC.p7c10r5,1,H7hESC
H7hESC.p7c10r8,1,H7hESC
H7hESC.p7c11r4,1,H7hESC
H7hESC.p7c11r6,1,H7hESC
H7hESC.p7c11r7,1,H7hESC
H7hESC.p7c12r7,1,H7hESC
H7hESC.p7c1r4,1,H7hESC
H7hESC.p7c1r5,1,H7hESC
H7hESC.p7c1r6,1,H7hESC
H7hESC.p7c1r7,1,H7hESC
H7hESC.p7c1r8,1,H7hESC
H7hESC.p7c2r3,1,H7hESC
H7hESC.p7c2r4,1,H7hESC
H7hESC.p7c2r5,1,H7hESC
H7hESC.p7c2r6,1,H7hESC
H7hESC.p7c2r7,1,H7hESC
H7hESC.p7c2r8,1,H7hESC
H7hESC.p7c3r3,1,H7hESC
H7hESC.p7c3r4,1,H7hESC
H7hESC.p7c3r5,1,H7hESC
H7hESC.p7c3r6,1,H7hESC
H7hESC.p7c3r7,1,H7hESC
H7hESC.p7c4r3,1,H7hESC
H7hESC.p7c4r7,1,H7hESC
H7hESC.p7c4r8,1,H7hESC
H7hESC.p7c5r3,1,H7hESC
H7hESC.p7c5r4,1,H7hESC
H7hESC.p7c5r5,1,H7hESC
H7hESC.p7c5r8,1,H7hESC
H7hESC.p7c6r3,1,H7hESC
H7hESC.p7c6r4,1,H7hESC
H7hESC.p7c6r5,1,H7hESC
H7hESC.p7c6r6,1,H7hESC
H7hESC.p7c6r7,1,H7hESC
H7hESC.p7c6r8,1,H7hESC
H7hESC.p7c7r3,1,H7hESC
H7hESC.p7c7r5,1,H7hESC
H7hESC.p7c7r6,1,H7hESC
H7hESC.p7c7r7,1,H7hESC
H7hESC.p7c7r8,1,H7hESC
H7hESC.p7c8r3,1,H7hESC
H7hESC.p7c8r5,1,H7hESC
H7hESC.p7c8r6,1,H7hESC
H7hESC.p7c8r7,1,H7hESC
H7hESC.p7c8r8,1,H7hESC
H7hESC.p7c9r3,1,H7hESC
H7hESC.p7c9r5,1,H7hESC
H7hESC.p7c9r6,1,H7hESC
H7hESC.p7c9r7,1,H7hESC
H7hESC.p7c9r8,1,H7hESC
D2_25somitomere.p9c10r2,2,D2.25_Smtmrs
D2_25somitomere.p9c10r3,2,D2.25_Smtmrs
D2_25somitomere.p9c10r4,2,D2.25_Smtmrs
D2_25somitomere.p9c10r6,2,D2.25_Smtmrs
D2_25somitomere.p9c10r7,2,D2.25_Smtmrs
D2_25somitomere.p9c10r8,2,D2.25_Smtmrs
D2_25somitomere.p9c11r1,2,D2.25_Smtmrs
D2_25somitomere.p9c11r2,2,D2.25_Smtmrs
D2_25somitomere.p9c11r3,2,D2.25_Smtmrs
D2_25somitomere.p9c11r4,2,D2.25_Smtmrs
D2_25somitomere.p9c11r6,2,D2.25_Smtmrs
D2_25somitomere.p9c11r7,2,D2.25_Smtmrs
D2_25somitomere.p9c11r8,2,D2.25_Smtmrs
D2_25somitomere.p9c12r1,2,D2.25_Smtmrs
D2_25somitomere.p9c12r2,2,D2.25_Smtmrs
D2_25somitomere.p9c12r3,2,D2.25_Smtmrs
D2_25somitomere.p9c12r4,2,D2.25_Smtmrs
D2_25somitomere.p9c12r6,2,D2.25_Smtmrs
D2_25somitomere.p9c12r7,2,D2.25_Smtmrs
D2_25somitomere.p9c1r1,2,D2.25_Smtmrs
D2_25somitomere.p9c1r2,2,D2.25_Smtmrs
D2_25somitomere.p9c1r3,2,D2.25_Smtmrs
D2_25somitomere.p9c1r5,2,D2.25_Smtmrs
D2_25somitomere.p9c1r7,2,D2.25_Smtmrs
D2_25somitomere.p9c2r1,2,D2.25_Smtmrs
D2_25somitomere.p9c2r2,2,D2.25_Smtmrs
D2_25somitomere.p9c2r4,2,D2.25_Smtmrs
D2_25somitomere.p9c2r5,2,D2.25_Smtmrs
D2_25somitomere.p9c2r6,2,D2.25_Smtmrs
D2_25somitomere.p9c2r7,2,D2.25_Smtmrs
D2_25somitomere.p9c2r8,2,D2.25_Smtmrs
D2_25somitomere.p9c3r1,2,D2.25_Smtmrs
D2_25somitomere.p9c3r2,2,D2.25_Smtmrs
D2_25somitomere.p9c3r4,2,D2.25_Smtmrs
D2_25somitomere.p9c3r6,2,D2.25_Smtmrs
D2_25somitomere.p9c4r1,2,D2.25_Smtmrs
D2_25somitomere.p9c4r2,2,D2.25_Smtmrs
D2_25somitomere.p9c4r3,2,D2.25_Smtmrs
D2_25somitomere.p9c4r4,2,D2.25_Smtmrs
D2_25somitomere.p9c4r5,2,D2.25_Smtmrs
D2_25somitomere.p9c4r6,2,D2.25_Smtmrs
D2_25somitomere.p9c4r7,2,D2.25_Smtmrs
D2_25somitomere.p9c5r1,2,D2.25_Smtmrs
D2_25somitomere.p9c5r2,2,D2.25_Smtmrs
D2_25somitomere.p9c5r3,2,D2.25_Smtmrs
D2_25somitomere.p9c5r4,2,D2.25_Smtmrs
D2_25somitomere.p9c5r5,2,D2.25_Smtmrs
D2_25somitomere.p9c5r6,2,D2.25_Smtmrs
D2_25somitomere.p9c5r7,2,D2.25_Smtmrs
D2_25somitomere.p9c5r8,2,D2.25_Smtmrs
D2_25somitomere.p9c6r1,2,D2.25_Smtmrs
D2_25somitomere.p9c6r3,2,D2.25_Smtmrs
D2_25somitomere.p9c6r5,2,D2.25_Smtmrs
D2_25somitomere.p9c6r6,2,D2.25_Smtmrs
D2_25somitomere.p9c6r7,2,D2.25_Smtmrs
D2_25somitomere.p9c7r1,2,D2.25_Smtmrs
D2_25somitomere.p9c7r3,2,D2.25_Smtmrs
D2_25somitomere.p9c7r5,2,D2.25_Smtmrs
D2_25somitomere.p9c7r6,2,D2.25_Smtmrs
D2_25somitomere.p9c7r7,2,D2.25_Smtmrs
D2_25somitomere.p9c7r8,2,D2.25_Smtmrs
D2_25somitomere.p9c8r1,2,D2.25_Smtmrs
D2_25somitomere.p9c8r2,2,D2.25_Smtmrs
D2_25somitomere.p9c8r3,2,D2.25_Smtmrs
D2_25somitomere.p9c8r5,2,D2.25_Smtmrs
D2_25somitomere.p9c8r6,2,D2.25_Smtmrs
D2_25somitomere.p9c8r7,2,D2.25_Smtmrs
D2_25somitomere.p9c8r8,2,D2.25_Smtmrs
D2_25somitomere.p9c9r1,2,D2.25_Smtmrs
D2_25somitomere.p9c9r2,2,D2.25_Smtmrs
D2_25somitomere.p9c9r3,2,D2.25_Smtmrs
D2_25somitomere.p9c9r4,2,D2.25_Smtmrs
D2_25somitomere.p9c9r5,2,D2.25_Smtmrs
D2_25somitomere.p9c9r6,2,D2.25_Smtmrs
D2_25somitomere.p9c9r7,2,D2.25_Smtmrs
D2_25somitomere.p9c9r8,2,D2.25_Smtmrs
Earlysomite.p10c10r2,3,ESMT
Earlysomite.p10c10r3,3,ESMT
Earlysomite.p10c10r5,3,ESMT
Earlysomite.p10c10r7,3,ESMT
Earlysomite.p10c11r1,3,ESMT
Earlysomite.p10c11r2,3,ESMT
Earlysomite.p10c11r3,3,ESMT
Earlysomite.p10c11r5,3,ESMT
Earlysomite.p10c11r6,3,ESMT
Earlysomite.p10c12r2,3,ESMT
Earlysomite.p10c12r4,3,ESMT
Earlysomite.p10c12r6,3,ESMT
Earlysomite.p10c2r8,3,ESMT
Earlysomite.p10c3r2,3,ESMT
Earlysomite.p10c3r3,3,ESMT
Earlysomite.p10c4r1,3,ESMT
Earlysomite.p10c4r2,3,ESMT
Earlysomite.p10c4r4,3,ESMT
Earlysomite.p10c4r5,3,ESMT
Earlysomite.p10c4r6,3,ESMT
Earlysomite.p10c4r8,3,ESMT
Earlysomite.p10c5r1,3,ESMT
Earlysomite.p10c5r5,3,ESMT
Earlysomite.p10c5r6,3,ESMT
Earlysomite.p10c5r7,3,ESMT
Earlysomite.p10c5r8,3,ESMT
Earlysomite.p10c6r1,3,ESMT
Earlysomite.p10c6r2,3,ESMT
Earlysomite.p10c6r3,3,ESMT
Earlysomite.p10c6r4,3,ESMT
Earlysomite.p10c6r5,3,ESMT
Earlysomite.p10c6r6,3,ESMT
Earlysomite.p10c6r7,3,ESMT
Earlysomite.p10c6r8,3,ESMT
Earlysomite.p10c7r1,3,ESMT
Earlysomite.p10c9r5,3,ESMT
LatM.p3c10r1,4,D2LtM
LatM.p3c10r3,4,D2LtM
LatM.p3c10r6,4,D2LtM
LatM.p3c11r1,4,D2LtM
LatM.p3c11r3,4,D2LtM
LatM.p3c11r4,4,D2LtM
LatM.p3c11r5,4,D2LtM
LatM.p3c11r8,4,D2LtM
LatM.p3c12r2,4,D2LtM
LatM.p3c12r4,4,D2LtM
LatM.p3c12r5,4,D2LtM
LatM.p3c12r7,4,D2LtM
LatM.p3c1r1,4,D2LtM
LatM.p3c1r4,4,D2LtM
LatM.p3c1r6,4,D2LtM
LatM.p3c1r7,4,D2LtM
LatM.p3c2r1,4,D2LtM
LatM.p3c2r2,4,D2LtM
LatM.p3c2r3,4,D2LtM
LatM.p3c2r5,4,D2LtM
LatM.p3c2r6,4,D2LtM
LatM.p3c2r7,4,D2LtM
LatM.p3c3r2,4,D2LtM
LatM.p3c3r8,4,D2LtM
LatM.p3c4r1,4,D2LtM
LatM.p3c4r2,4,D2LtM
LatM.p3c4r4,4,D2LtM
LatM.p3c4r5,4,D2LtM
LatM.p3c4r6,4,D2LtM
LatM.p3c4r7,4,D2LtM
LatM.p3c4r8,4,D2LtM
LatM.p3c5r1,4,D2LtM
LatM.p3c5r2,4,D2LtM
LatM.p3c5r4,4,D2LtM
LatM.p3c5r6,4,D2LtM
LatM.p3c5r8,4,D2LtM
LatM.p3c6r1,4,D2LtM
LatM.p3c6r4,4,D2LtM
LatM.p3c6r7,4,D2LtM
LatM.p3c6r8,4,D2LtM
LatM.p3c7r1,4,D2LtM
LatM.p3c7r2,4,D2LtM
LatM.p3c7r3,4,D2LtM
LatM.p3c7r5,4,D2LtM
LatM.p3c7r6,4,D2LtM
LatM.p3c8r2,4,D2LtM
LatM.p3c8r3,4,D2LtM
LatM.p3c8r7,4,D2LtM
LatM.p3c8r8,4,D2LtM
LatM.p3c9r1,4,D2LtM
LatM.p3c9r2,4,D2LtM
LatM.p3c9r3,4,D2LtM
LatM.p3c9r4,4,D2LtM
LatM.p3c9r5,4,D2LtM
LatM.p3c9r7,4,D2LtM
APS.p1c1r5,5,APS
MPS3.p5c12r1,5,MPS
MPS3.p5c1r1,5,MPS
MPS3.p5c1r3,5,MPS
MPS3.p5c1r4,5,MPS
MPS3.p5c2r1,5,MPS
MPS3.p5c2r2,5,MPS
MPS3.p5c2r3,5,MPS
MPS3.p5c2r4,5,MPS
MPS3.p5c3r1,5,MPS
MPS3.p5c4r2,5,MPS
MPS3.p5c5r1,5,MPS
MPS3.p5c5r2,5,MPS
MPS3.p5c5r3,5,MPS
MPS3.p5c6r1,5,MPS
MPS3.p5c7r1,5,MPS
MPS3.p5c7r2,5,MPS
MPS3.p5c7r4,5,MPS
MPS3.p5c8r1,5,MPS
MPS3.p5c8r4,5,MPS
APS.p1c10r1,6,APS
APS.p1c10r3,6,APS
APS.p1c10r4,6,APS
APS.p1c10r6,6,APS
APS.p1c10r7,6,APS
APS.p1c11r2,6,APS
APS.p1c11r3,6,APS
APS.p1c11r6,6,APS
APS.p1c11r7,6,APS
APS.p1c12r2,6,APS
APS.p1c12r3,6,APS
APS.p1c12r4,6,APS
APS.p1c12r5,6,APS
APS.p1c12r6,6,APS
APS.p1c12r7,6,APS
APS.p1c1r2,6,APS
APS.p1c1r8,6,APS
APS.p1c2r2,6,APS
APS.p1c2r3,6,APS
APS.p1c2r4,6,APS
APS.p1c2r6,6,APS
APS.p1c3r1,6,APS
APS.p1c3r3,6,APS
APS.p1c3r4,6,APS
APS.p1c3r5,6,APS
APS.p1c3r6,6,APS
APS.p1c4r2,6,APS
APS.p1c4r5,6,APS
APS.p1c4r6,6,APS
APS.p1c4r7,6,APS
APS.p1c4r8,6,APS
APS.p1c5r1,6,APS
APS.p1c5r2,6,APS
APS.p1c5r3,6,APS
APS.p1c5r4,6,APS
APS.p1c5r7,6,APS
APS.p1c5r8,6,APS
APS.p1c6r2,6,APS
APS.p1c6r3,6,APS
APS.p1c6r4,6,APS
APS.p1c6r5,6,APS
APS.p1c6r6,6,APS
APS.p1c6r8,6,APS
APS.p1c7r2,6,APS
APS.p1c7r3,6,APS
APS.p1c7r4,6,APS
APS.p1c7r5,6,APS
APS.p1c7r6,6,APS
APS.p1c8r1,6,APS
APS.p1c8r3,6,APS
APS.p1c8r4,6,APS
APS.p1c8r5,6,APS
APS.p1c9r1,6,APS
APS.p1c9r2,6,APS
APS.p1c9r3,6,APS
APS.p1c9r4,6,APS
APS.p1c9r6,6,APS
APS.p1c9r7,6,APS
MPS3.p5c12r4,6,MPS
MPS3.p5c2r5,6,MPS
MPS3.p5c9r4,6,MPS
Sclerotome.p2c1r7,7,Sclrtm
Sclerotome.p2c7r5,7,Sclrtm
Sclerotome.p2c8r6,7,Sclrtm
cDM.p4c10r1,7,cDM
cDM.p4c10r2,7,cDM
cDM.p4c10r4,7,cDM
cDM.p4c10r5,7,cDM
cDM.p4c10r6,7,cDM
cDM.p4c11r1,7,cDM
cDM.p4c11r3,7,cDM
cDM.p4c11r5,7,cDM
cDM.p4c11r7,7,cDM
cDM.p4c11r8,7,cDM
cDM.p4c12r2,7,cDM
cDM.p4c12r3,7,cDM
cDM.p4c12r4,7,cDM
cDM.p4c12r5,7,cDM
cDM.p4c12r6,7,cDM
cDM.p4c12r7,7,cDM
cDM.p4c1r1,7,cDM
cDM.p4c1r2,7,cDM
cDM.p4c1r3,7,cDM
cDM.p4c1r4,7,cDM
cDM.p4c1r5,7,cDM
cDM.p4c1r7,7,cDM
cDM.p4c1r8,7,cDM
cDM.p4c2r2,7,cDM
cDM.p4c2r3,7,cDM
cDM.p4c2r4,7,cDM
cDM.p4c2r5,7,cDM
cDM.p4c2r6,7,cDM
cDM.p4c2r7,7,cDM
cDM.p4c3r1,7,cDM
cDM.p4c3r3,7,cDM
cDM.p4c3r6,7,cDM
cDM.p4c3r8,7,cDM
cDM.p4c4r1,7,cDM
cDM.p4c4r2,7,cDM
cDM.p4c4r3,7,cDM
cDM.p4c4r4,7,cDM
cDM.p4c4r5,7,cDM
cDM.p4c4r6,7,cDM
cDM.p4c4r8,7,cDM
cDM.p4c5r2,7,cDM
cDM.p4c5r3,7,cDM
cDM.p4c5r6,7,cDM
cDM.p4c5r7,7,cDM
cDM.p4c6r2,7,cDM
cDM.p4c6r3,7,cDM
cDM.p4c6r7,7,cDM
cDM.p4c7r1,7,cDM
cDM.p4c7r3,7,cDM
cDM.p4c7r5,7,cDM
cDM.p4c7r6,7,cDM
cDM.p4c7r7,7,cDM
cDM.p4c7r8,7,cDM
cDM.p4c8r1,7,cDM
cDM.p4c8r2,7,cDM
cDM.p4c8r3,7,cDM
cDM.p4c8r4,7,cDM
cDM.p4c8r6,7,cDM
cDM.p4c8r7,7,cDM
cDM.p4c9r1,7,cDM
cDM.p4c9r2,7,cDM
cDM.p4c9r3,7,cDM
cDM.p4c9r4,7,cDM
cDM.p4c9r5,7,cDM
cDM.p4c9r6,7,cDM
cDM.p4c9r7,7,cDM
Sclerotome.p2c10r1,8,Sclrtm
Sclerotome.p2c10r2,8,Sclrtm
Sclerotome.p2c10r3,8,Sclrtm
Sclerotome.p2c10r4,8,Sclrtm
Sclerotome.p2c10r5,8,Sclrtm
Sclerotome.p2c10r6,8,Sclrtm
Sclerotome.p2c10r7,8,Sclrtm
Sclerotome.p2c10r8,8,Sclrtm
Sclerotome.p2c11r1,8,Sclrtm
Sclerotome.p2c11r3,8,Sclrtm
Sclerotome.p2c11r4,8,Sclrtm
Sclerotome.p2c11r6,8,Sclrtm
Sclerotome.p2c11r7,8,Sclrtm
Sclerotome.p2c12r3,8,Sclrtm
Sclerotome.p2c12r5,8,Sclrtm
Sclerotome.p2c1r1,8,Sclrtm
Sclerotome.p2c1r2,8,Sclrtm
Sclerotome.p2c1r4,8,Sclrtm
Sclerotome.p2c1r5,8,Sclrtm
Sclerotome.p2c1r6,8,Sclrtm
Sclerotome.p2c2r2,8,Sclrtm
Sclerotome.p2c2r6,8,Sclrtm
Sclerotome.p2c3r1,8,Sclrtm
Sclerotome.p2c3r2,8,Sclrtm
Sclerotome.p2c3r3,8,Sclrtm
Sclerotome.p2c3r4,8,Sclrtm
Sclerotome.p2c3r6,8,Sclrtm
Sclerotome.p2c3r7,8,Sclrtm
Sclerotome.p2c3r8,8,Sclrtm
Sclerotome.p2c4r1,8,Sclrtm
Sclerotome.p2c4r3,8,Sclrtm
Sclerotome.p2c4r4,8,Sclrtm
Sclerotome.p2c4r5,8,Sclrtm
Sclerotome.p2c4r6,8,Sclrtm
Sclerotome.p2c4r7,8,Sclrtm
Sclerotome.p2c4r8,8,Sclrtm
Sclerotome.p2c5r1,8,Sclrtm
Sclerotome.p2c5r3,8,Sclrtm
Sclerotome.p2c5r4,8,Sclrtm
Sclerotome.p2c5r6,8,Sclrtm
Sclerotome.p2c5r7,8,Sclrtm
Sclerotome.p2c6r3,8,Sclrtm
Sclerotome.p2c6r5,8,Sclrtm
Sclerotome.p2c6r6,8,Sclrtm
Sclerotome.p2c6r7,8,Sclrtm
Sclerotome.p2c6r8,8,Sclrtm
Sclerotome.p2c7r1,8,Sclrtm
Sclerotome.p2c7r2,8,Sclrtm
Sclerotome.p2c7r3,8,Sclrtm
Sclerotome.p2c7r6,8,Sclrtm
Sclerotome.p2c8r2,8,Sclrtm
Sclerotome.p2c8r3,8,Sclrtm
Sclerotome.p2c8r4,8,Sclrtm
Sclerotome.p2c8r5,8,Sclrtm
Sclerotome.p2c8r7,8,Sclrtm
Sclerotome.p2c8r8,8,Sclrtm
Sclerotome.p2c9r1,8,Sclrtm
Sclerotome.p2c9r2,8,Sclrtm
Sclerotome.p2c9r3,8,Sclrtm
Sclerotome.p2c9r4,8,Sclrtm
Sclerotome.p2c9r5,8,Sclrtm
Sclerotome.p2c9r6,8,Sclrtm
cDM.p4c7r4,8,cDM
