,Cell,assigned_cluster
195,human2_lib1.final_cell_0196,beta
196,human2_lib1.final_cell_0197,endothelial
197,human2_lib1.final_cell_0198,beta
198,human2_lib1.final_cell_0199,alpha
199,human2_lib1.final_cell_0200,delta
200,human2_lib1.final_cell_0201,beta
201,human2_lib1.final_cell_0202,activated_stellate
202,human2_lib1.final_cell_0203,alpha
203,human2_lib1.final_cell_0204,beta
204,human2_lib1.final_cell_0205,ductal
205,human2_lib1.final_cell_0206,beta
206,human2_lib1.final_cell_0207,gamma
207,human2_lib1.final_cell_0208,alpha
208,human2_lib1.final_cell_0209,alpha
209,human2_lib1.final_cell_0210,alpha
210,human2_lib1.final_cell_0211,delta
211,human2_lib1.final_cell_0212,alpha
212,human2_lib1.final_cell_0213,ductal
213,human2_lib1.final_cell_0214,alpha
214,human2_lib1.final_cell_0215,beta
215,human2_lib1.final_cell_0216,endothelial
216,human2_lib1.final_cell_0217,activated_stellate
217,human2_lib1.final_cell_0218,alpha
218,human2_lib1.final_cell_0219,beta
219,human2_lib1.final_cell_0220,alpha
220,human2_lib1.final_cell_0221,alpha
221,human2_lib1.final_cell_0222,alpha
222,human2_lib1.final_cell_0223,beta
223,human2_lib1.final_cell_0224,beta
224,human2_lib1.final_cell_0225,alpha
225,human2_lib1.final_cell_0226,gamma
226,human2_lib1.final_cell_0227,beta
227,human2_lib1.final_cell_0228,alpha
228,human2_lib1.final_cell_0229,alpha
229,human2_lib1.final_cell_0230,alpha
230,human2_lib1.final_cell_0231,beta
231,human2_lib1.final_cell_0232,ductal
232,human2_lib1.final_cell_0233,beta
233,human2_lib1.final_cell_0234,activated_stellate
234,human2_lib1.final_cell_0235,alpha
235,human2_lib1.final_cell_0236,beta
236,human2_lib1.final_cell_0237,beta
237,human2_lib1.final_cell_0238,gamma
238,human2_lib1.final_cell_0239,alpha
239,human2_lib1.final_cell_0240,alpha
240,human2_lib1.final_cell_0241,alpha
241,human2_lib1.final_cell_0242,beta
242,human2_lib1.final_cell_0243,alpha
243,human2_lib1.final_cell_0244,endothelial
244,human2_lib1.final_cell_0245,alpha
245,human2_lib1.final_cell_0246,delta
246,human2_lib1.final_cell_0247,activated_stellate
247,human2_lib1.final_cell_0248,gamma
248,human2_lib1.final_cell_0249,beta
249,human2_lib1.final_cell_0250,alpha
250,human2_lib1.final_cell_0251,ductal
251,human2_lib1.final_cell_0252,beta
252,human2_lib1.final_cell_0253,gamma
253,human2_lib1.final_cell_0254,beta
254,human2_lib1.final_cell_0255,beta
255,human2_lib1.final_cell_0256,ductal
256,human2_lib1.final_cell_0257,ductal
257,human2_lib1.final_cell_0258,alpha
258,human2_lib1.final_cell_0259,beta
259,human2_lib1.final_cell_0260,beta
260,human2_lib1.final_cell_0261,ductal
261,human2_lib1.final_cell_0262,beta
262,human2_lib1.final_cell_0263,ductal
263,human2_lib1.final_cell_0264,alpha
264,human2_lib1.final_cell_0265,alpha
265,human2_lib1.final_cell_0266,activated_stellate
266,human2_lib1.final_cell_0267,delta
267,human2_lib1.final_cell_0268,alpha
268,human2_lib1.final_cell_0269,activated_stellate
269,human2_lib1.final_cell_0270,beta
270,human2_lib1.final_cell_0271,alpha
271,human2_lib1.final_cell_0272,delta
272,human2_lib1.final_cell_0273,beta
273,human2_lib1.final_cell_0274,beta
274,human2_lib1.final_cell_0275,delta
275,human2_lib1.final_cell_0276,ductal
276,human2_lib1.final_cell_0277,alpha
277,human2_lib1.final_cell_0278,delta
278,human2_lib1.final_cell_0279,alpha
279,human2_lib1.final_cell_0280,beta
280,human2_lib1.final_cell_0281,ductal
281,human2_lib1.final_cell_0282,beta
282,human2_lib1.final_cell_0283,endothelial
283,human2_lib1.final_cell_0284,ductal
284,human2_lib1.final_cell_0285,beta
285,human2_lib1.final_cell_0286,alpha
286,human2_lib1.final_cell_0287,activated_stellate
287,human2_lib1.final_cell_0288,beta
288,human2_lib1.final_cell_0289,alpha
289,human2_lib1.final_cell_0290,beta
290,human2_lib1.final_cell_0291,beta
291,human2_lib1.final_cell_0292,alpha
292,human2_lib1.final_cell_0293,beta
293,human2_lib1.final_cell_0294,alpha
294,human2_lib1.final_cell_0295,gamma
295,human2_lib1.final_cell_0296,beta
296,human2_lib1.final_cell_0297,ductal
297,human2_lib1.final_cell_0298,beta
298,human2_lib1.final_cell_0299,alpha
299,human2_lib1.final_cell_0300,alpha
300,human2_lib1.final_cell_0301,alpha
301,human2_lib1.final_cell_0302,alpha
302,human2_lib1.final_cell_0303,ductal
303,human2_lib1.final_cell_0304,beta
304,human2_lib1.final_cell_0305,alpha
305,human2_lib1.final_cell_0306,alpha
306,human2_lib1.final_cell_0307,ductal
307,human2_lib1.final_cell_0308,alpha
308,human2_lib1.final_cell_0309,ductal
309,human2_lib1.final_cell_0310,alpha
310,human2_lib1.final_cell_0311,alpha
311,human2_lib1.final_cell_0312,gamma
312,human2_lib1.final_cell_0313,ductal
313,human2_lib1.final_cell_0314,ductal
314,human2_lib1.final_cell_0315,alpha
315,human2_lib1.final_cell_0316,alpha
316,human2_lib1.final_cell_0317,ductal
317,human2_lib1.final_cell_0318,beta
318,human2_lib1.final_cell_0319,ductal
319,human2_lib1.final_cell_0320,alpha
320,human2_lib1.final_cell_0321,ductal
321,human2_lib1.final_cell_0322,alpha
322,human2_lib1.final_cell_0323,ductal
323,human2_lib1.final_cell_0324,beta
324,human2_lib1.final_cell_0325,beta
325,human2_lib1.final_cell_0326,beta
326,human2_lib1.final_cell_0327,ductal
327,human2_lib1.final_cell_0328,ductal
328,human2_lib1.final_cell_0329,alpha
329,human2_lib1.final_cell_0330,delta
330,human2_lib1.final_cell_0331,alpha
331,human2_lib1.final_cell_0332,beta
332,human2_lib1.final_cell_0333,beta
333,human2_lib1.final_cell_0334,endothelial
334,human2_lib1.final_cell_0335,alpha
335,human2_lib1.final_cell_0336,alpha
336,human2_lib1.final_cell_0337,alpha
337,human2_lib1.final_cell_0338,alpha
338,human2_lib1.final_cell_0339,alpha
339,human2_lib1.final_cell_0340,alpha
340,human2_lib1.final_cell_0341,ductal
341,human2_lib1.final_cell_0342,alpha
342,human2_lib1.final_cell_0343,alpha
343,human2_lib1.final_cell_0344,ductal
344,human2_lib1.final_cell_0345,alpha
345,human2_lib1.final_cell_0346,ductal
346,human2_lib1.final_cell_0347,ductal
347,human2_lib1.final_cell_0348,ductal
348,human2_lib1.final_cell_0349,alpha
349,human2_lib1.final_cell_0350,activated_stellate
350,human2_lib1.final_cell_0351,ductal
351,human2_lib1.final_cell_0352,alpha
352,human2_lib1.final_cell_0353,alpha
353,human2_lib1.final_cell_0354,beta
354,human2_lib1.final_cell_0355,delta
355,human2_lib1.final_cell_0356,alpha
356,human2_lib1.final_cell_0357,alpha
357,human2_lib1.final_cell_0358,ductal
358,human2_lib1.final_cell_0359,alpha
359,human2_lib1.final_cell_0360,alpha
360,human2_lib1.final_cell_0361,gamma
361,human2_lib1.final_cell_0362,ductal
362,human2_lib1.final_cell_0363,alpha
363,human2_lib1.final_cell_0364,delta
364,human2_lib1.final_cell_0365,endothelial
365,human2_lib1.final_cell_0366,beta
366,human2_lib1.final_cell_0367,alpha
367,human2_lib1.final_cell_0368,beta
368,human2_lib1.final_cell_0369,alpha
369,human2_lib1.final_cell_0370,alpha
370,human2_lib1.final_cell_0371,alpha
371,human2_lib1.final_cell_0372,gamma
372,human2_lib1.final_cell_0373,ductal
373,human2_lib1.final_cell_0374,alpha
374,human2_lib1.final_cell_0375,alpha
375,human2_lib1.final_cell_0376,gamma
376,human2_lib1.final_cell_0377,alpha
377,human2_lib1.final_cell_0378,quiescent_stellate
378,human2_lib1.final_cell_0379,beta
379,human2_lib1.final_cell_0380,ductal
380,human2_lib1.final_cell_0381,ductal
381,human2_lib1.final_cell_0382,beta
382,human2_lib1.final_cell_0383,alpha
383,human2_lib1.final_cell_0384,alpha
384,human2_lib1.final_cell_0385,alpha
385,human2_lib1.final_cell_0386,alpha
386,human2_lib1.final_cell_0387,alpha
387,human2_lib1.final_cell_0388,beta
388,human2_lib1.final_cell_0389,alpha
389,human2_lib1.final_cell_0390,beta
390,human2_lib1.final_cell_0391,ductal
391,human2_lib1.final_cell_0392,gamma
392,human2_lib1.final_cell_0393,beta
393,human2_lib1.final_cell_0394,activated_stellate
394,human2_lib1.final_cell_0395,ductal
395,human2_lib1.final_cell_0396,ductal
396,human2_lib1.final_cell_0397,alpha
397,human2_lib1.final_cell_0398,gamma
398,human2_lib1.final_cell_0399,epsilon
399,human2_lib1.final_cell_0400,alpha
400,human2_lib1.final_cell_0401,delta
401,human2_lib1.final_cell_0402,alpha
402,human2_lib1.final_cell_0403,ductal
403,human2_lib1.final_cell_0404,alpha
404,human2_lib1.final_cell_0405,beta
405,human2_lib1.final_cell_0406,activated_stellate
406,human2_lib1.final_cell_0407,gamma
407,human2_lib1.final_cell_0408,alpha
408,human2_lib1.final_cell_0409,alpha
409,human2_lib1.final_cell_0410,schwann
410,human2_lib1.final_cell_0411,ductal
411,human2_lib1.final_cell_0412,alpha
412,human2_lib1.final_cell_0413,alpha
413,human2_lib1.final_cell_0414,gamma
414,human2_lib1.final_cell_0415,alpha
415,human2_lib1.final_cell_0416,alpha
416,human2_lib1.final_cell_0417,alpha
417,human2_lib1.final_cell_0418,alpha
418,human2_lib1.final_cell_0419,alpha
419,human2_lib1.final_cell_0420,alpha
420,human2_lib1.final_cell_0421,beta
421,human2_lib1.final_cell_0422,macrophage
422,human2_lib1.final_cell_0423,ductal
423,human2_lib1.final_cell_0424,alpha
424,human2_lib1.final_cell_0425,alpha
425,human2_lib1.final_cell_0426,ductal
426,human2_lib1.final_cell_0427,alpha
427,human2_lib1.final_cell_0428,alpha
428,human2_lib1.final_cell_0429,alpha
429,human2_lib1.final_cell_0430,beta
430,human2_lib1.final_cell_0431,ductal
431,human2_lib1.final_cell_0432,gamma
432,human2_lib1.final_cell_0433,delta
433,human2_lib1.final_cell_0434,ductal
434,human2_lib1.final_cell_0435,delta
435,human2_lib1.final_cell_0436,beta
436,human2_lib1.final_cell_0437,alpha
437,human2_lib1.final_cell_0438,ductal
438,human2_lib1.final_cell_0439,gamma
439,human2_lib1.final_cell_0440,alpha
440,human2_lib1.final_cell_0441,alpha
441,human2_lib1.final_cell_0442,alpha
442,human2_lib1.final_cell_0443,gamma
443,human2_lib1.final_cell_0444,activated_stellate
444,human2_lib1.final_cell_0445,alpha
445,human2_lib1.final_cell_0446,ductal
446,human2_lib1.final_cell_0447,alpha
447,human2_lib1.final_cell_0448,alpha
448,human2_lib1.final_cell_0449,beta
449,human2_lib1.final_cell_0450,ductal
450,human2_lib1.final_cell_0451,alpha
451,human2_lib1.final_cell_0452,gamma
452,human2_lib1.final_cell_0453,delta
453,human2_lib1.final_cell_0454,alpha
454,human2_lib1.final_cell_0455,alpha
455,human2_lib1.final_cell_0456,ductal
456,human2_lib1.final_cell_0457,activated_stellate
457,human2_lib1.final_cell_0458,alpha
458,human2_lib1.final_cell_0459,alpha
459,human2_lib1.final_cell_0460,alpha
460,human2_lib1.final_cell_0461,gamma
461,human2_lib1.final_cell_0462,alpha
462,human2_lib1.final_cell_0463,beta
463,human2_lib1.final_cell_0464,alpha
464,human2_lib1.final_cell_0465,alpha
465,human2_lib1.final_cell_0466,beta
466,human2_lib1.final_cell_0467,ductal
467,human2_lib1.final_cell_0468,schwann
468,human2_lib1.final_cell_0469,delta
469,human2_lib1.final_cell_0470,gamma
470,human2_lib1.final_cell_0471,activated_stellate
471,human2_lib1.final_cell_0472,alpha
472,human2_lib1.final_cell_0473,ductal
473,human2_lib1.final_cell_0474,beta
474,human2_lib1.final_cell_0475,beta
475,human2_lib1.final_cell_0476,alpha
476,human2_lib1.final_cell_0477,gamma
477,human2_lib1.final_cell_0478,gamma
478,human2_lib1.final_cell_0479,ductal
479,human2_lib1.final_cell_0480,alpha
480,human2_lib1.final_cell_0481,activated_stellate
481,human2_lib1.final_cell_0482,endothelial
482,human2_lib1.final_cell_0483,beta
483,human2_lib1.final_cell_0484,beta
484,human2_lib1.final_cell_0485,endothelial
485,human2_lib1.final_cell_0486,alpha
486,human2_lib1.final_cell_0487,beta
487,human2_lib1.final_cell_0488,beta
488,human2_lib1.final_cell_0489,alpha
489,human2_lib1.final_cell_0490,ductal
490,human2_lib1.final_cell_0491,alpha
491,human2_lib1.final_cell_0492,alpha
492,human2_lib1.final_cell_0493,alpha
493,human2_lib1.final_cell_0494,gamma
494,human2_lib1.final_cell_0495,activated_stellate
495,human2_lib1.final_cell_0496,alpha
496,human2_lib1.final_cell_0497,beta
497,human2_lib1.final_cell_0498,alpha
498,human2_lib1.final_cell_0499,alpha
499,human2_lib1.final_cell_0500,quiescent_stellate
500,human2_lib1.final_cell_0501,gamma
501,human2_lib1.final_cell_0502,alpha
502,human2_lib1.final_cell_0503,alpha
503,human2_lib1.final_cell_0504,alpha
504,human2_lib1.final_cell_0505,alpha
505,human2_lib1.final_cell_0506,alpha
506,human2_lib1.final_cell_0507,quiescent_stellate
507,human2_lib1.final_cell_0508,alpha
508,human2_lib1.final_cell_0509,alpha
509,human2_lib1.final_cell_0510,alpha
510,human2_lib1.final_cell_0511,ductal
511,human2_lib1.final_cell_0512,alpha
512,human2_lib1.final_cell_0513,beta
513,human2_lib1.final_cell_0514,beta
514,human2_lib1.final_cell_0515,beta
515,human2_lib1.final_cell_0516,beta
516,human2_lib1.final_cell_0517,ductal
517,human2_lib1.final_cell_0518,alpha
518,human2_lib1.final_cell_0519,alpha
519,human2_lib1.final_cell_0520,ductal
520,human2_lib1.final_cell_0521,alpha
521,human2_lib1.final_cell_0522,beta
522,human2_lib1.final_cell_0523,activated_stellate
523,human2_lib1.final_cell_0524,ductal
524,human2_lib1.final_cell_0525,mast
525,human2_lib1.final_cell_0526,alpha
526,human2_lib1.final_cell_0527,beta
527,human2_lib1.final_cell_0528,alpha
528,human2_lib1.final_cell_0529,alpha
529,human2_lib1.final_cell_0530,beta
530,human2_lib1.final_cell_0531,gamma
531,human2_lib1.final_cell_0532,beta
532,human2_lib1.final_cell_0533,ductal
533,human2_lib1.final_cell_0534,ductal
534,human2_lib1.final_cell_0535,ductal
535,human2_lib1.final_cell_0536,ductal
536,human2_lib1.final_cell_0537,alpha
537,human2_lib1.final_cell_0538,beta
538,human2_lib1.final_cell_0539,ductal
539,human2_lib1.final_cell_0540,beta
540,human2_lib1.final_cell_0541,endothelial
541,human2_lib1.final_cell_0542,beta
542,human2_lib1.final_cell_0543,beta
543,human2_lib1.final_cell_0544,macrophage
544,human2_lib1.final_cell_0545,gamma
545,human2_lib1.final_cell_0546,ductal
546,human2_lib1.final_cell_0547,ductal
547,human2_lib1.final_cell_0548,beta
548,human2_lib1.final_cell_0549,quiescent_stellate
549,human2_lib1.final_cell_0550,ductal
550,human2_lib1.final_cell_0551,alpha
551,human2_lib1.final_cell_0552,alpha
552,human2_lib1.final_cell_0553,ductal
553,human2_lib1.final_cell_0554,alpha
554,human2_lib1.final_cell_0555,ductal
555,human2_lib1.final_cell_0556,beta
556,human2_lib1.final_cell_0557,alpha
557,human2_lib1.final_cell_0558,ductal
558,human2_lib1.final_cell_0559,beta
559,human2_lib2.final_cell_0001,delta
560,human2_lib2.final_cell_0002,alpha
561,human2_lib2.final_cell_0003,alpha
562,human2_lib2.final_cell_0004,alpha
563,human2_lib2.final_cell_0005,alpha
564,human2_lib2.final_cell_0006,delta
565,human2_lib2.final_cell_0007,ductal
566,human2_lib2.final_cell_0008,alpha
567,human2_lib2.final_cell_0009,delta
568,human2_lib2.final_cell_0010,delta
569,human2_lib2.final_cell_0011,delta
570,human2_lib2.final_cell_0012,activated_stellate
571,human2_lib2.final_cell_0013,beta
572,human2_lib2.final_cell_0014,delta
573,human2_lib2.final_cell_0015,ductal
574,human2_lib2.final_cell_0016,ductal
575,human2_lib2.final_cell_0017,ductal
576,human2_lib2.final_cell_0018,ductal
577,human2_lib2.final_cell_0019,alpha
578,human2_lib2.final_cell_0020,delta
579,human2_lib2.final_cell_0021,macrophage
580,human2_lib2.final_cell_0022,beta
581,human2_lib2.final_cell_0023,delta
582,human2_lib2.final_cell_0024,ductal
583,human2_lib2.final_cell_0025,beta
584,human2_lib2.final_cell_0026,delta
585,human2_lib2.final_cell_0027,alpha
586,human2_lib2.final_cell_0028,alpha
587,human2_lib2.final_cell_0029,activated_stellate
588,human2_lib2.final_cell_0030,ductal
589,human2_lib2.final_cell_0031,beta
590,human2_lib2.final_cell_0032,ductal
591,human2_lib2.final_cell_0033,alpha
592,human2_lib2.final_cell_0034,delta
593,human2_lib2.final_cell_0035,ductal
594,human2_lib2.final_cell_0036,ductal
595,human2_lib2.final_cell_0037,beta
596,human2_lib2.final_cell_0038,alpha
597,human2_lib2.final_cell_0039,alpha
598,human2_lib2.final_cell_0040,beta
599,human2_lib2.final_cell_0041,alpha
600,human2_lib2.final_cell_0042,beta
601,human2_lib2.final_cell_0043,ductal
602,human2_lib2.final_cell_0044,ductal
603,human2_lib2.final_cell_0045,ductal
604,human2_lib2.final_cell_0046,beta
605,human2_lib2.final_cell_0047,delta
606,human2_lib2.final_cell_0048,beta
607,human2_lib2.final_cell_0049,beta
608,human2_lib2.final_cell_0050,ductal
609,human2_lib2.final_cell_0051,alpha
610,human2_lib2.final_cell_0052,ductal
611,human2_lib2.final_cell_0053,ductal
612,human2_lib2.final_cell_0054,beta
613,human2_lib2.final_cell_0055,alpha
614,human2_lib2.final_cell_0056,beta
615,human2_lib2.final_cell_0057,beta
616,human2_lib2.final_cell_0058,beta
617,human2_lib2.final_cell_0059,alpha
618,human2_lib2.final_cell_0060,alpha
619,human2_lib2.final_cell_0061,beta
620,human2_lib2.final_cell_0062,beta
621,human2_lib2.final_cell_0063,alpha
622,human2_lib2.final_cell_0064,beta
623,human2_lib2.final_cell_0065,beta
624,human2_lib2.final_cell_0066,beta
625,human2_lib2.final_cell_0067,ductal
626,human2_lib2.final_cell_0068,beta
627,human2_lib2.final_cell_0069,activated_stellate
628,human2_lib2.final_cell_0070,beta
629,human2_lib2.final_cell_0071,ductal
630,human2_lib2.final_cell_0072,beta
631,human2_lib2.final_cell_0073,beta
632,human2_lib2.final_cell_0074,alpha
633,human2_lib2.final_cell_0075,ductal
634,human2_lib2.final_cell_0076,ductal
635,human2_lib2.final_cell_0077,beta
636,human2_lib2.final_cell_0078,ductal
637,human2_lib2.final_cell_0079,alpha
638,human2_lib2.final_cell_0080,ductal
639,human2_lib2.final_cell_0081,gamma
640,human2_lib2.final_cell_0082,alpha
641,human2_lib2.final_cell_0083,beta
642,human2_lib2.final_cell_0084,beta
643,human2_lib2.final_cell_0085,activated_stellate
644,human2_lib2.final_cell_0086,beta
645,human2_lib2.final_cell_0087,beta
646,human2_lib2.final_cell_0088,alpha
647,human2_lib2.final_cell_0089,beta
648,human2_lib2.final_cell_0090,gamma
649,human2_lib2.final_cell_0091,beta
650,human2_lib2.final_cell_0092,alpha
651,human2_lib2.final_cell_0093,ductal
652,human2_lib2.final_cell_0094,beta
653,human2_lib2.final_cell_0095,alpha
654,human2_lib2.final_cell_0096,alpha
655,human2_lib2.final_cell_0097,beta
656,human2_lib2.final_cell_0098,alpha
657,human2_lib2.final_cell_0099,alpha
658,human2_lib2.final_cell_0100,alpha
659,human2_lib2.final_cell_0101,alpha
660,human2_lib2.final_cell_0102,activated_stellate
661,human2_lib2.final_cell_0103,alpha
662,human2_lib2.final_cell_0104,activated_stellate
663,human2_lib2.final_cell_0105,beta
664,human2_lib2.final_cell_0106,gamma
665,human2_lib2.final_cell_0107,alpha
666,human2_lib2.final_cell_0108,beta
667,human2_lib2.final_cell_0109,delta
