,Found,Truth
GSM1658128,3,neurons
GSM1658129,3,neurons
GSM1658131,3,neurons
GSM1658134,3,neurons
GSM1658135,3,neurons
GSM1658136,3,neurons
GSM1658137,3,neurons
GSM1658138,3,neurons
GSM1658139,3,neurons
GSM1658141,3,neurons
GSM1658143,3,neurons
GSM1658145,3,neurons
GSM1658146,3,neurons
GSM1658147,3,neurons
GSM1658148,3,neurons
GSM1658149,3,neurons
GSM1658150,3,neurons
GSM1658151,3,neurons
GSM1658152,3,neurons
GSM1658153,3,neurons
GSM1658156,3,neurons
GSM1658158,3,neurons
GSM1658160,3,neurons
GSM1657930,3,neurons
GSM1657931,3,neurons
GSM1657933,3,neurons
GSM1657935,3,neurons
GSM1657937,3,neurons
GSM1657939,3,neurons
GSM1657940,3,neurons
GSM1657941,3,neurons
GSM1657942,3,neurons
GSM1657943,3,neurons
GSM1657945,3,neurons
GSM1657946,3,neurons
GSM1657948,3,neurons
GSM1657949,3,neurons
GSM1657950,3,neurons
GSM1657951,3,neurons
GSM1657952,3,neurons
GSM1657953,3,neurons
GSM1657954,3,neurons
GSM1657955,3,neurons
GSM1657956,3,neurons
GSM1657957,3,neurons
GSM1657958,3,neurons
GSM1657959,3,neurons
GSM1657960,3,neurons
GSM1657961,3,neurons
GSM1657962,3,neurons
GSM1657963,3,neurons
GSM1657964,3,neurons
GSM1657966,3,neurons
GSM1657967,3,neurons
GSM1657968,3,neurons
GSM1657970,3,neurons
GSM1657971,3,neurons
GSM1657973,3,neurons
GSM1657974,3,neurons
GSM1657976,3,neurons
GSM1657977,3,neurons
GSM1657978,3,neurons
GSM1657980,3,neurons
GSM1657982,3,neurons
GSM1657983,3,neurons
GSM1657984,3,neurons
GSM1657985,3,neurons
GSM1657986,3,neurons
GSM1657987,3,neurons
GSM1658157,3,oligodendrocytes
GSM1657898,3,oligodendrocytes
GSM1658355,4,fetal_replicating
GSM1658347,4,fetal_replicating
GSM1658203,4,fetal_replicating
GSM1658204,4,fetal_replicating
GSM1658206,4,fetal_replicating
GSM1658207,4,fetal_replicating
GSM1658208,4,fetal_replicating
GSM1658209,4,fetal_replicating
GSM1658210,4,fetal_replicating
GSM1658211,4,fetal_replicating
GSM1658213,4,fetal_replicating
GSM1658214,4,fetal_replicating
GSM1658215,4,fetal_replicating
GSM1658216,4,fetal_replicating
GSM1658218,4,fetal_replicating
GSM1658219,4,fetal_replicating
GSM1658220,4,fetal_replicating
GSM1658222,4,fetal_replicating
GSM1658224,4,fetal_replicating
GSM1658242,4,fetal_replicating
GSM1658365,5,fetal_quiescent
GSM1658366,5,fetal_quiescent
GSM1658364,5,fetal_quiescent
GSM1658363,5,fetal_quiescent
GSM1658362,5,fetal_quiescent
GSM1658361,5,fetal_quiescent
GSM1658348,5,fetal_quiescent
GSM1658350,5,fetal_quiescent
GSM1658351,5,fetal_quiescent
GSM1658352,5,fetal_quiescent
GSM1658353,5,fetal_quiescent
GSM1658354,5,fetal_quiescent
GSM1658356,5,fetal_quiescent
GSM1658357,5,fetal_quiescent
GSM1658358,5,fetal_quiescent
GSM1658359,5,fetal_quiescent
GSM1658360,5,fetal_quiescent
GSM1658244,5,fetal_quiescent
GSM1658245,5,fetal_quiescent
GSM1658246,5,fetal_quiescent
GSM1658247,5,fetal_quiescent
GSM1658248,5,fetal_quiescent
GSM1658249,5,fetal_quiescent
GSM1658251,5,fetal_quiescent
GSM1658253,5,fetal_quiescent
GSM1658255,5,fetal_quiescent
GSM1658257,5,fetal_quiescent
GSM1658259,5,fetal_quiescent
GSM1658336,5,fetal_quiescent
GSM1658337,5,fetal_quiescent
GSM1658338,5,fetal_quiescent
GSM1658339,5,fetal_quiescent
GSM1658340,5,fetal_quiescent
GSM1658341,5,fetal_quiescent
GSM1658342,5,fetal_quiescent
GSM1658343,5,fetal_quiescent
GSM1658344,5,fetal_quiescent
GSM1658345,5,fetal_quiescent
GSM1658346,5,fetal_quiescent
GSM1658349,5,fetal_quiescent
GSM1658262,5,fetal_quiescent
GSM1658264,5,fetal_quiescent
GSM1658266,5,fetal_quiescent
GSM1658268,5,fetal_quiescent
GSM1658270,5,fetal_quiescent
GSM1658272,5,fetal_quiescent
GSM1658275,5,fetal_quiescent
GSM1658277,5,fetal_quiescent
GSM1658279,5,fetal_quiescent
GSM1658281,5,fetal_quiescent
GSM1658284,5,fetal_quiescent
GSM1658286,5,fetal_quiescent
GSM1658288,5,fetal_quiescent
GSM1658290,5,fetal_quiescent
GSM1658292,5,fetal_quiescent
GSM1658294,5,fetal_quiescent
GSM1658297,5,fetal_quiescent
GSM1658299,5,fetal_quiescent
GSM1658301,5,fetal_quiescent
GSM1658305,5,fetal_quiescent
GSM1658306,5,fetal_quiescent
GSM1658307,5,fetal_quiescent
GSM1658308,5,fetal_quiescent
GSM1658309,5,fetal_quiescent
GSM1658310,5,fetal_quiescent
GSM1658311,5,fetal_quiescent
GSM1658312,5,fetal_quiescent
GSM1658313,5,fetal_quiescent
GSM1658314,5,fetal_quiescent
GSM1658315,5,fetal_quiescent
GSM1658316,5,fetal_quiescent
GSM1658317,5,fetal_quiescent
GSM1658318,5,fetal_quiescent
GSM1658319,5,fetal_quiescent
GSM1658320,5,fetal_quiescent
GSM1658321,5,fetal_quiescent
GSM1658322,5,fetal_quiescent
GSM1658323,5,fetal_quiescent
GSM1658324,5,fetal_quiescent
GSM1658325,5,fetal_quiescent
GSM1658326,5,fetal_quiescent
GSM1658327,5,fetal_quiescent
GSM1658328,5,fetal_quiescent
GSM1658329,5,fetal_quiescent
GSM1658330,5,fetal_quiescent
GSM1658331,5,fetal_quiescent
GSM1658332,5,fetal_quiescent
GSM1658221,5,fetal_quiescent
GSM1658223,5,fetal_quiescent
GSM1658225,5,fetal_quiescent
GSM1658226,5,fetal_quiescent
GSM1658227,5,fetal_quiescent
GSM1658229,5,fetal_quiescent
GSM1658230,5,fetal_quiescent
GSM1658231,5,fetal_quiescent
GSM1658232,5,fetal_quiescent
GSM1658233,5,fetal_quiescent
GSM1658234,5,fetal_quiescent
GSM1658235,5,fetal_quiescent
GSM1658236,5,fetal_quiescent
GSM1658237,5,fetal_quiescent
GSM1658238,5,fetal_quiescent
GSM1658239,5,fetal_quiescent
GSM1658240,5,fetal_quiescent
GSM1658241,5,fetal_quiescent
GSM1658243,5,fetal_quiescent
GSM1658333,5,fetal_quiescent
GSM1658334,5,fetal_quiescent
GSM1658335,5,fetal_quiescent
GSM1658003,5,fetal_quiescent
GSM1658304,5,fetal_replicating
GSM1658205,5,fetal_replicating
GSM1658212,5,fetal_replicating
GSM1658217,5,fetal_replicating
GSM1658228,5,fetal_replicating
GSM1658085,6,endothelial
GSM1658109,6,endothelial
GSM1657923,6,microglia
GSM1658167,6,oligodendrocytes
GSM1658173,6,oligodendrocytes
GSM1658179,6,oligodendrocytes
GSM1658180,6,oligodendrocytes
GSM1657877,6,oligodendrocytes
GSM1657881,6,oligodendrocytes
GSM1658018,6,oligodendrocytes
GSM1658088,6,oligodendrocytes
GSM1658093,6,oligodendrocytes
GSM1658097,6,oligodendrocytes
GSM1658118,6,oligodendrocytes
GSM1658119,6,oligodendrocytes
GSM1658120,6,oligodendrocytes
GSM1658123,6,oligodendrocytes
GSM1658124,6,oligodendrocytes
GSM1658125,6,oligodendrocytes
GSM1658130,6,oligodendrocytes
GSM1658133,6,oligodendrocytes
GSM1658140,6,oligodendrocytes
GSM1658155,6,oligodendrocytes
GSM1658159,6,oligodendrocytes
GSM1658162,6,oligodendrocytes
GSM1658164,6,oligodendrocytes
GSM1657871,6,oligodendrocytes
GSM1657873,6,oligodendrocytes
GSM1657889,6,oligodendrocytes
GSM1657890,6,oligodendrocytes
GSM1657891,6,oligodendrocytes
GSM1657892,6,oligodendrocytes
GSM1657894,6,oligodendrocytes
GSM1657899,6,oligodendrocytes
GSM1657900,6,oligodendrocytes
GSM1657901,6,oligodendrocytes
GSM1657902,6,oligodendrocytes
GSM1657944,6,oligodendrocytes
GSM1657893,7,OPC
GSM1657904,7,OPC
GSM1657906,7,OPC
GSM1657907,7,OPC
GSM1657908,7,OPC
GSM1657911,7,OPC
GSM1657913,7,OPC
GSM1657914,7,OPC
GSM1657915,7,OPC
GSM1657916,7,OPC
GSM1657917,7,OPC
GSM1657921,7,OPC
GSM1657922,7,OPC
GSM1657928,7,OPC
GSM1657918,7,microglia
GSM1657876,7,oligodendrocytes
