Cell,Cluster
reads.22963,mesenchyme
reads.22964,alpha
reads.22965,alpha
reads.22966,alpha
reads.22967,alpha
reads.22968,gamma
reads.22969,alpha
reads.22970,mesenchyme
reads.22971,alpha
reads.22972,alpha
reads.22973,alpha
reads.22974,alpha
reads.22976,alpha
reads.22977,alpha
reads.22978,alpha
reads.22980,gamma
reads.22982,alpha
reads.22983,alpha
reads.22984,alpha
reads.22985,alpha
reads.22986,alpha
reads.22988,alpha
reads.22989,alpha
reads.22990,alpha
reads.22991,alpha
reads.22993,alpha
reads.22994,alpha
reads.22997,alpha
reads.22998,alpha
reads.23000,alpha
reads.23001,alpha
reads.25937,beta
reads.25938,alpha
reads.25939,alpha
reads.25940,beta
reads.25943,alpha
reads.25944,beta
reads.25945,beta
reads.25946,alpha
reads.25948,alpha
reads.25950,alpha
reads.25952,mesenchyme
reads.25953,alpha
reads.25954,alpha
reads.25955,gamma
reads.25956,alpha
reads.25958,alpha
reads.25959,beta
reads.25960,alpha
reads.25961,alpha
reads.25962,alpha
reads.25963,beta
reads.25964,alpha
reads.25965,beta
reads.25966,beta
reads.25967,alpha
reads.25969,alpha
reads.25970,gamma
reads.25971,mesenchyme
reads.25972,alpha
reads.25973,alpha
reads.25974,alpha
reads.25975,gamma
reads.25976,alpha
reads.25977,beta
reads.25978,gamma
reads.25980,ductal
reads.25984,alpha
reads.25987,alpha
reads.25988,beta
reads.25989,beta
reads.25990,ductal
reads.25991,alpha
reads.25992,ductal
reads.25993,alpha
reads.25994,alpha
reads.26007,ductal
reads.26008,acinar
reads.26009,alpha
reads.26010,mesenchyme
reads.26011,beta
reads.26012,beta
reads.26013,ductal
reads.26014,alpha
reads.26018,ductal
reads.26019,alpha
reads.26021,delta
reads.26022,alpha
reads.26023,ductal
reads.26024,alpha
reads.26025,gamma
reads.26026,alpha
reads.26027,alpha
reads.26029,alpha
reads.26030,beta
reads.26032,beta
reads.26036,beta
reads.26037,delta
reads.26038,beta
reads.26039,beta
reads.26040,beta
reads.26042,beta
reads.26043,alpha
reads.26044,alpha
reads.26045,ductal
reads.26047,alpha
reads.26050,ductal
reads.26051,gamma
reads.26052,delta
reads.26054,gamma
reads.26055,beta
reads.26056,alpha
reads.26057,beta
reads.26058,beta
reads.26059,beta
reads.26060,gamma
reads.26061,ductal
reads.26062,alpha
reads.26063,alpha
reads.26064,beta
reads.26065,alpha
reads.26066,beta
reads.26067,alpha
reads.26068,alpha
reads.26069,ductal
reads.26070,beta
reads.26071,beta
reads.26074,beta
reads.26076,beta
reads.26077,alpha
reads.26079,beta
reads.26080,alpha
reads.26083,beta
reads.26084,alpha
reads.26086,alpha
reads.26087,beta
reads.26092,alpha
reads.26093,alpha
reads.26095,beta
reads.26098,alpha
reads.26100,alpha
reads.26102,alpha
reads.26104,gamma
reads.26105,ductal
reads.26107,ductal
reads.26109,alpha
reads.26114,alpha
reads.26123,beta
reads.26126,alpha
reads.26127,acinar
reads.26129,beta
reads.26130,gamma
reads.26131,delta
reads.28175,alpha
reads.28180,gamma
reads.28182,acinar
reads.28183,alpha
reads.28184,alpha
reads.28185,beta
reads.29312,beta
reads.29317,beta
reads.29320,beta
reads.29321,beta
reads.29324,mesenchyme
reads.29326,beta
reads.29329,beta
reads.29330,beta
reads.29336,mesenchyme
reads.29337,mesenchyme
reads.29339,mesenchyme
reads.29340,ductal
reads.29347,ductal
reads.29349,mesenchyme
reads.29350,beta
reads.29353,beta
reads.29354,mesenchyme
reads.29357,mesenchyme
reads.29358,ductal
reads.29359,beta
reads.29360,beta
reads.29364,mesenchyme
reads.29365,mesenchyme
reads.29367,mesenchyme
reads.29370,ductal
reads.29372,mesenchyme
reads.29379,beta
reads.29383,mesenchyme
reads.29384,mesenchyme
reads.29385,mesenchyme
reads.29386,alpha
reads.29388,mesenchyme
reads.29389,beta
reads.29390,beta
reads.29392,mesenchyme
reads.29394,ductal
reads.29400,beta
reads.29405,mesenchyme
reads.29408,ductal
reads.29410,ductal
reads.29412,alpha
reads.29414,ductal
reads.29415,ductal
reads.29416,ductal
reads.29417,mesenchyme
reads.29418,ductal
reads.29419,ductal
reads.29422,mesenchyme
reads.29423,ductal
reads.29424,ductal
reads.29425,ductal
reads.29426,ductal
reads.29427,ductal
reads.29428,ductal
reads.29429,ductal
reads.29431,beta
reads.29432,ductal
reads.29434,ductal
reads.29435,ductal
reads.29436,ductal
reads.29437,ductal
reads.29438,ductal
reads.29439,mesenchyme
reads.29440,ductal
reads.29441,ductal
reads.29442,ductal
reads.29443,ductal
reads.29444,beta
reads.29445,ductal
reads.29446,ductal
reads.29447,ductal
reads.29448,ductal
reads.29449,ductal
reads.29450,ductal
reads.29451,ductal
reads.29452,ductal
reads.29454,ductal
reads.29455,ductal
reads.29457,ductal
reads.29458,ductal
reads.29460,ductal
reads.29461,ductal
reads.29462,beta
reads.29463,acinar
reads.29465,ductal
reads.29466,ductal
reads.29467,ductal
reads.29469,ductal
reads.29470,ductal
reads.29471,ductal
reads.29472,ductal
reads.29473,beta
reads.29474,ductal
reads.29475,ductal
reads.29478,ductal
reads.29479,ductal
reads.29480,ductal
reads.29481,ductal
reads.29482,ductal
reads.29483,ductal
reads.29484,ductal
reads.29485,ductal
reads.29486,ductal
reads.29487,ductal
reads.29488,ductal
reads.29489,ductal
reads.29490,ductal
reads.29491,ductal
reads.29493,ductal
reads.29494,mesenchyme
reads.29497,ductal
reads.29498,ductal
reads.29499,ductal
reads.29500,ductal
reads.29501,beta
reads.29503,beta
