,Cell,assigned_cluster
67,human3_lib1.final_cell_0068,alpha
68,human3_lib1.final_cell_0069,acinar
69,human3_lib1.final_cell_0070,acinar
70,human3_lib1.final_cell_0071,endothelial
71,human3_lib1.final_cell_0072,acinar
72,human3_lib1.final_cell_0073,acinar
73,human3_lib1.final_cell_0074,acinar
74,human3_lib1.final_cell_0075,delta
75,human3_lib1.final_cell_0076,acinar
76,human3_lib1.final_cell_0077,acinar
77,human3_lib1.final_cell_0078,acinar
78,human3_lib1.final_cell_0079,acinar
79,human3_lib1.final_cell_0080,acinar
80,human3_lib1.final_cell_0081,alpha
81,human3_lib1.final_cell_0082,acinar
82,human3_lib1.final_cell_0083,alpha
83,human3_lib1.final_cell_0084,acinar
84,human3_lib1.final_cell_0085,acinar
85,human3_lib1.final_cell_0086,acinar
86,human3_lib1.final_cell_0087,acinar
87,human3_lib1.final_cell_0088,activated_stellate
88,human3_lib1.final_cell_0089,acinar
89,human3_lib1.final_cell_0090,acinar
90,human3_lib1.final_cell_0091,delta
91,human3_lib1.final_cell_0092,acinar
92,human3_lib1.final_cell_0093,acinar
93,human3_lib1.final_cell_0094,acinar
94,human3_lib1.final_cell_0095,acinar
95,human3_lib1.final_cell_0096,acinar
96,human3_lib1.final_cell_0097,acinar
97,human3_lib1.final_cell_0098,acinar
98,human3_lib1.final_cell_0099,beta
99,human3_lib1.final_cell_0100,beta
100,human3_lib1.final_cell_0101,acinar
101,human3_lib1.final_cell_0102,alpha
102,human3_lib1.final_cell_0103,alpha
103,human3_lib1.final_cell_0104,delta
104,human3_lib1.final_cell_0105,acinar
105,human3_lib1.final_cell_0106,delta
106,human3_lib1.final_cell_0107,acinar
107,human3_lib1.final_cell_0108,acinar
108,human3_lib1.final_cell_0109,acinar
109,human3_lib1.final_cell_0110,delta
110,human3_lib1.final_cell_0111,alpha
111,human3_lib1.final_cell_0112,acinar
112,human3_lib1.final_cell_0113,acinar
113,human3_lib1.final_cell_0114,delta
114,human3_lib1.final_cell_0115,alpha
115,human3_lib1.final_cell_0116,acinar
116,human3_lib1.final_cell_0117,acinar
117,human3_lib1.final_cell_0118,alpha
118,human3_lib1.final_cell_0119,acinar
119,human3_lib1.final_cell_0120,acinar
120,human3_lib1.final_cell_0121,acinar
121,human3_lib1.final_cell_0122,beta
122,human3_lib1.final_cell_0123,acinar
123,human3_lib1.final_cell_0124,acinar
124,human3_lib1.final_cell_0125,acinar
125,human3_lib1.final_cell_0126,beta
126,human3_lib1.final_cell_0127,alpha
127,human3_lib1.final_cell_0128,delta
128,human3_lib1.final_cell_0129,alpha
129,human3_lib1.final_cell_0130,delta
130,human3_lib1.final_cell_0131,acinar
131,human3_lib1.final_cell_0132,beta
132,human3_lib1.final_cell_0133,ductal
133,human3_lib1.final_cell_0134,beta
134,human3_lib1.final_cell_0135,ductal
135,human3_lib1.final_cell_0136,delta
136,human3_lib1.final_cell_0137,beta
137,human3_lib1.final_cell_0138,acinar
138,human3_lib1.final_cell_0139,alpha
139,human3_lib1.final_cell_0140,beta
140,human3_lib1.final_cell_0141,delta
141,human3_lib1.final_cell_0142,activated_stellate
142,human3_lib1.final_cell_0143,beta
143,human3_lib1.final_cell_0144,alpha
144,human3_lib1.final_cell_0145,delta
145,human3_lib1.final_cell_0146,acinar
146,human3_lib1.final_cell_0147,beta
147,human3_lib1.final_cell_0148,alpha
148,human3_lib1.final_cell_0149,beta
149,human3_lib1.final_cell_0150,acinar
150,human3_lib1.final_cell_0151,beta
151,human3_lib1.final_cell_0152,alpha
152,human3_lib1.final_cell_0153,alpha
153,human3_lib1.final_cell_0154,beta
154,human3_lib1.final_cell_0155,acinar
155,human3_lib1.final_cell_0156,alpha
156,human3_lib1.final_cell_0157,activated_stellate
157,human3_lib1.final_cell_0158,acinar
158,human3_lib1.final_cell_0159,beta
159,human3_lib1.final_cell_0160,ductal
160,human3_lib1.final_cell_0161,acinar
161,human3_lib1.final_cell_0162,ductal
162,human3_lib1.final_cell_0163,beta
163,human3_lib1.final_cell_0164,beta
164,human3_lib1.final_cell_0165,delta
165,human3_lib1.final_cell_0166,beta
166,human3_lib1.final_cell_0167,beta
167,human3_lib1.final_cell_0168,acinar
168,human3_lib1.final_cell_0169,alpha
169,human3_lib1.final_cell_0170,acinar
170,human3_lib1.final_cell_0171,alpha
171,human3_lib1.final_cell_0172,acinar
172,human3_lib1.final_cell_0173,alpha
173,human3_lib1.final_cell_0174,acinar
174,human3_lib1.final_cell_0175,beta
175,human3_lib1.final_cell_0176,beta
176,human3_lib1.final_cell_0177,alpha
177,human3_lib1.final_cell_0178,beta
178,human3_lib1.final_cell_0179,acinar
179,human3_lib1.final_cell_0180,beta
180,human3_lib1.final_cell_0181,acinar
181,human3_lib1.final_cell_0182,alpha
182,human3_lib1.final_cell_0183,beta
183,human3_lib1.final_cell_0184,alpha
184,human3_lib1.final_cell_0185,acinar
185,human3_lib1.final_cell_0186,alpha
186,human3_lib1.final_cell_0187,alpha
187,human3_lib1.final_cell_0188,delta
188,human3_lib1.final_cell_0189,beta
189,human3_lib1.final_cell_0190,acinar
190,human3_lib1.final_cell_0191,alpha
191,human3_lib1.final_cell_0192,delta
192,human3_lib1.final_cell_0193,delta
193,human3_lib1.final_cell_0194,delta
194,human3_lib1.final_cell_0195,acinar
195,human3_lib1.final_cell_0196,acinar
196,human3_lib1.final_cell_0197,acinar
197,human3_lib1.final_cell_0198,alpha
198,human3_lib1.final_cell_0199,beta
199,human3_lib1.final_cell_0200,acinar
200,human3_lib1.final_cell_0201,acinar
201,human3_lib1.final_cell_0202,beta
202,human3_lib1.final_cell_0203,beta
203,human3_lib1.final_cell_0204,acinar
204,human3_lib1.final_cell_0205,alpha
205,human3_lib1.final_cell_0206,ductal
206,human3_lib1.final_cell_0207,alpha
207,human3_lib1.final_cell_0208,beta
208,human3_lib1.final_cell_0209,acinar
209,human3_lib1.final_cell_0210,beta
210,human3_lib1.final_cell_0211,acinar
211,human3_lib1.final_cell_0212,acinar
212,human3_lib1.final_cell_0213,beta
213,human3_lib1.final_cell_0214,acinar
214,human3_lib1.final_cell_0215,acinar
215,human3_lib1.final_cell_0216,delta
216,human3_lib1.final_cell_0217,delta
217,human3_lib1.final_cell_0218,beta
218,human3_lib1.final_cell_0219,beta
219,human3_lib1.final_cell_0220,acinar
220,human3_lib1.final_cell_0221,alpha
221,human3_lib1.final_cell_0222,alpha
222,human3_lib1.final_cell_0223,alpha
223,human3_lib1.final_cell_0224,acinar
224,human3_lib1.final_cell_0225,ductal
225,human3_lib1.final_cell_0226,beta
226,human3_lib1.final_cell_0227,alpha
227,human3_lib1.final_cell_0228,ductal
228,human3_lib1.final_cell_0229,alpha
229,human3_lib1.final_cell_0230,acinar
230,human3_lib1.final_cell_0231,activated_stellate
231,human3_lib1.final_cell_0232,alpha
232,human3_lib1.final_cell_0233,beta
233,human3_lib1.final_cell_0234,beta
234,human3_lib1.final_cell_0235,beta
235,human3_lib1.final_cell_0236,alpha
236,human3_lib1.final_cell_0237,alpha
237,human3_lib1.final_cell_0238,acinar
238,human3_lib1.final_cell_0239,alpha
239,human3_lib1.final_cell_0240,alpha
240,human3_lib1.final_cell_0241,beta
241,human3_lib1.final_cell_0242,beta
242,human3_lib1.final_cell_0243,alpha
243,human3_lib1.final_cell_0244,acinar
244,human3_lib1.final_cell_0245,beta
245,human3_lib1.final_cell_0246,acinar
246,human3_lib1.final_cell_0247,ductal
247,human3_lib1.final_cell_0248,beta
248,human3_lib1.final_cell_0249,beta
249,human3_lib1.final_cell_0250,alpha
250,human3_lib1.final_cell_0251,alpha
251,human3_lib1.final_cell_0252,alpha
252,human3_lib1.final_cell_0253,acinar
253,human3_lib1.final_cell_0254,alpha
254,human3_lib1.final_cell_0255,acinar
255,human3_lib1.final_cell_0256,alpha
256,human3_lib1.final_cell_0257,beta
257,human3_lib1.final_cell_0258,alpha
258,human3_lib1.final_cell_0259,beta
259,human3_lib1.final_cell_0260,beta
260,human3_lib1.final_cell_0261,delta
261,human3_lib1.final_cell_0262,activated_stellate
262,human3_lib1.final_cell_0263,alpha
263,human3_lib1.final_cell_0264,acinar
264,human3_lib1.final_cell_0265,ductal
265,human3_lib1.final_cell_0266,alpha
266,human3_lib1.final_cell_0267,alpha
267,human3_lib1.final_cell_0268,acinar
268,human3_lib1.final_cell_0269,beta
269,human3_lib1.final_cell_0270,acinar
270,human3_lib1.final_cell_0271,delta
271,human3_lib1.final_cell_0272,delta
272,human3_lib1.final_cell_0273,alpha
273,human3_lib1.final_cell_0274,delta
274,human3_lib1.final_cell_0275,beta
275,human3_lib1.final_cell_0276,activated_stellate
276,human3_lib1.final_cell_0277,alpha
277,human3_lib1.final_cell_0278,beta
278,human3_lib1.final_cell_0279,acinar
279,human3_lib1.final_cell_0280,alpha
280,human3_lib1.final_cell_0281,alpha
281,human3_lib1.final_cell_0282,acinar
282,human3_lib1.final_cell_0283,beta
283,human3_lib1.final_cell_0284,ductal
284,human3_lib1.final_cell_0285,alpha
285,human3_lib1.final_cell_0286,alpha
286,human3_lib1.final_cell_0287,beta
287,human3_lib1.final_cell_0288,ductal
288,human3_lib1.final_cell_0289,alpha
289,human3_lib1.final_cell_0290,quiescent_stellate
290,human3_lib1.final_cell_0291,alpha
291,human3_lib1.final_cell_0292,ductal
292,human3_lib1.final_cell_0293,alpha
293,human3_lib1.final_cell_0294,beta
294,human3_lib1.final_cell_0295,alpha
295,human3_lib1.final_cell_0296,alpha
296,human3_lib1.final_cell_0297,alpha
297,human3_lib1.final_cell_0298,delta
298,human3_lib1.final_cell_0299,alpha
299,human3_lib1.final_cell_0300,acinar
300,human3_lib1.final_cell_0301,delta
301,human3_lib1.final_cell_0302,acinar
302,human3_lib1.final_cell_0303,alpha
303,human3_lib1.final_cell_0304,beta
304,human3_lib1.final_cell_0305,ductal
305,human3_lib1.final_cell_0306,ductal
306,human3_lib1.final_cell_0307,acinar
307,human3_lib1.final_cell_0308,ductal
308,human3_lib1.final_cell_0309,ductal
309,human3_lib1.final_cell_0310,delta
310,human3_lib1.final_cell_0311,alpha
311,human3_lib1.final_cell_0312,beta
312,human3_lib1.final_cell_0313,beta
313,human3_lib1.final_cell_0314,delta
314,human3_lib1.final_cell_0315,alpha
315,human3_lib1.final_cell_0316,beta
316,human3_lib1.final_cell_0317,beta
317,human3_lib1.final_cell_0318,alpha
318,human3_lib1.final_cell_0319,alpha
319,human3_lib1.final_cell_0320,endothelial
320,human3_lib1.final_cell_0321,alpha
321,human3_lib1.final_cell_0322,beta
322,human3_lib1.final_cell_0323,beta
323,human3_lib1.final_cell_0324,alpha
324,human3_lib1.final_cell_0325,alpha
325,human3_lib1.final_cell_0326,acinar
326,human3_lib1.final_cell_0327,beta
327,human3_lib1.final_cell_0328,alpha
328,human3_lib1.final_cell_0329,beta
329,human3_lib1.final_cell_0330,acinar
330,human3_lib1.final_cell_0331,acinar
331,human3_lib1.final_cell_0332,alpha
332,human3_lib1.final_cell_0333,beta
333,human3_lib1.final_cell_0334,alpha
334,human3_lib1.final_cell_0335,alpha
335,human3_lib1.final_cell_0336,alpha
336,human3_lib1.final_cell_0337,alpha
337,human3_lib1.final_cell_0338,ductal
338,human3_lib1.final_cell_0339,delta
339,human3_lib1.final_cell_0340,alpha
340,human3_lib1.final_cell_0341,ductal
341,human3_lib1.final_cell_0342,ductal
342,human3_lib1.final_cell_0343,beta
343,human3_lib1.final_cell_0344,beta
344,human3_lib1.final_cell_0345,delta
345,human3_lib1.final_cell_0346,activated_stellate
346,human3_lib1.final_cell_0347,beta
347,human3_lib1.final_cell_0348,beta
348,human3_lib1.final_cell_0349,acinar
349,human3_lib1.final_cell_0350,alpha
350,human3_lib1.final_cell_0351,alpha
351,human3_lib1.final_cell_0352,alpha
352,human3_lib1.final_cell_0353,acinar
353,human3_lib1.final_cell_0354,alpha
354,human3_lib1.final_cell_0355,beta
355,human3_lib1.final_cell_0356,alpha
356,human3_lib1.final_cell_0357,beta
357,human3_lib1.final_cell_0358,alpha
358,human3_lib1.final_cell_0359,delta
359,human3_lib1.final_cell_0360,acinar
360,human3_lib1.final_cell_0361,activated_stellate
361,human3_lib1.final_cell_0362,acinar
362,human3_lib1.final_cell_0363,alpha
363,human3_lib1.final_cell_0364,beta
364,human3_lib1.final_cell_0365,activated_stellate
365,human3_lib1.final_cell_0366,alpha
366,human3_lib1.final_cell_0367,alpha
367,human3_lib1.final_cell_0368,alpha
368,human3_lib1.final_cell_0369,alpha
369,human3_lib1.final_cell_0370,alpha
370,human3_lib1.final_cell_0371,acinar
371,human3_lib1.final_cell_0372,alpha
372,human3_lib1.final_cell_0373,acinar
373,human3_lib1.final_cell_0374,alpha
374,human3_lib1.final_cell_0375,alpha
375,human3_lib1.final_cell_0376,ductal
376,human3_lib1.final_cell_0377,beta
377,human3_lib1.final_cell_0378,alpha
378,human3_lib1.final_cell_0379,delta
379,human3_lib1.final_cell_0380,beta
380,human3_lib1.final_cell_0381,activated_stellate
381,human3_lib1.final_cell_0382,ductal
382,human3_lib1.final_cell_0383,beta
383,human3_lib1.final_cell_0384,alpha
384,human3_lib1.final_cell_0385,acinar
385,human3_lib1.final_cell_0386,alpha
386,human3_lib1.final_cell_0387,alpha
387,human3_lib1.final_cell_0388,alpha
388,human3_lib1.final_cell_0389,acinar
389,human3_lib1.final_cell_0390,alpha
390,human3_lib1.final_cell_0391,acinar
391,human3_lib1.final_cell_0392,activated_stellate
392,human3_lib1.final_cell_0393,alpha
393,human3_lib1.final_cell_0394,beta
394,human3_lib1.final_cell_0395,beta
395,human3_lib1.final_cell_0396,beta
396,human3_lib1.final_cell_0397,activated_stellate
397,human3_lib1.final_cell_0398,acinar
398,human3_lib1.final_cell_0399,alpha
399,human3_lib1.final_cell_0400,ductal
400,human3_lib1.final_cell_0401,alpha
401,human3_lib1.final_cell_0402,beta
402,human3_lib1.final_cell_0403,beta
403,human3_lib1.final_cell_0404,beta
404,human3_lib1.final_cell_0405,alpha
405,human3_lib1.final_cell_0406,delta
406,human3_lib1.final_cell_0407,alpha
407,human3_lib1.final_cell_0408,beta
408,human3_lib1.final_cell_0409,beta
409,human3_lib1.final_cell_0410,alpha
410,human3_lib1.final_cell_0411,beta
411,human3_lib1.final_cell_0412,beta
412,human3_lib1.final_cell_0413,alpha
413,human3_lib1.final_cell_0414,beta
414,human3_lib1.final_cell_0415,alpha
415,human3_lib1.final_cell_0416,alpha
416,human3_lib1.final_cell_0417,alpha
417,human3_lib1.final_cell_0418,alpha
418,human3_lib1.final_cell_0419,acinar
419,human3_lib1.final_cell_0420,alpha
420,human3_lib1.final_cell_0421,beta
421,human3_lib1.final_cell_0422,acinar
422,human3_lib1.final_cell_0423,beta
423,human3_lib1.final_cell_0424,beta
424,human3_lib1.final_cell_0425,alpha
425,human3_lib1.final_cell_0426,delta
426,human3_lib1.final_cell_0427,alpha
427,human3_lib1.final_cell_0428,alpha
428,human3_lib1.final_cell_0429,alpha
429,human3_lib1.final_cell_0430,delta
430,human3_lib1.final_cell_0431,beta
431,human3_lib1.final_cell_0432,ductal
432,human3_lib1.final_cell_0433,ductal
433,human3_lib1.final_cell_0434,beta
434,human3_lib1.final_cell_0435,ductal
435,human3_lib1.final_cell_0436,endothelial
436,human3_lib1.final_cell_0437,ductal
437,human3_lib1.final_cell_0438,alpha
438,human3_lib1.final_cell_0439,acinar
439,human3_lib1.final_cell_0440,acinar
440,human3_lib1.final_cell_0441,alpha
441,human3_lib1.final_cell_0442,alpha
442,human3_lib1.final_cell_0443,beta
443,human3_lib1.final_cell_0444,alpha
444,human3_lib1.final_cell_0445,alpha
445,human3_lib1.final_cell_0446,beta
446,human3_lib1.final_cell_0447,acinar
447,human3_lib1.final_cell_0448,alpha
448,human3_lib1.final_cell_0449,beta
449,human3_lib1.final_cell_0450,alpha
450,human3_lib1.final_cell_0451,alpha
451,human3_lib1.final_cell_0452,alpha
452,human3_lib1.final_cell_0453,activated_stellate
453,human3_lib1.final_cell_0454,alpha
454,human3_lib1.final_cell_0455,alpha
455,human3_lib1.final_cell_0456,gamma
456,human3_lib1.final_cell_0457,beta
457,human3_lib1.final_cell_0458,ductal
458,human3_lib1.final_cell_0459,beta
459,human3_lib1.final_cell_0460,beta
460,human3_lib1.final_cell_0461,alpha
461,human3_lib1.final_cell_0462,ductal
462,human3_lib1.final_cell_0463,beta
463,human3_lib1.final_cell_0464,alpha
464,human3_lib1.final_cell_0465,alpha
465,human3_lib1.final_cell_0466,alpha
466,human3_lib1.final_cell_0467,alpha
467,human3_lib1.final_cell_0468,alpha
468,human3_lib1.final_cell_0469,ductal
469,human3_lib1.final_cell_0470,activated_stellate
470,human3_lib1.final_cell_0471,alpha
471,human3_lib1.final_cell_0472,alpha
472,human3_lib1.final_cell_0473,delta
473,human3_lib1.final_cell_0474,beta
474,human3_lib1.final_cell_0475,alpha
475,human3_lib1.final_cell_0476,acinar
476,human3_lib1.final_cell_0477,alpha
477,human3_lib1.final_cell_0478,alpha
478,human3_lib1.final_cell_0479,beta
479,human3_lib1.final_cell_0480,ductal
480,human3_lib1.final_cell_0481,alpha
481,human3_lib1.final_cell_0482,delta
482,human3_lib1.final_cell_0483,acinar
483,human3_lib1.final_cell_0484,acinar
484,human3_lib1.final_cell_0485,beta
485,human3_lib1.final_cell_0486,alpha
486,human3_lib1.final_cell_0487,alpha
487,human3_lib1.final_cell_0488,ductal
488,human3_lib1.final_cell_0489,macrophage
489,human3_lib1.final_cell_0490,alpha
490,human3_lib1.final_cell_0491,delta
491,human3_lib1.final_cell_0492,beta
492,human3_lib1.final_cell_0493,alpha
493,human3_lib1.final_cell_0494,beta
494,human3_lib1.final_cell_0495,ductal
495,human3_lib1.final_cell_0496,ductal
496,human3_lib1.final_cell_0497,alpha
497,human3_lib1.final_cell_0498,alpha
498,human3_lib1.final_cell_0499,activated_stellate
499,human3_lib1.final_cell_0500,ductal
500,human3_lib1.final_cell_0501,endothelial
501,human3_lib1.final_cell_0502,gamma
502,human3_lib1.final_cell_0503,alpha
503,human3_lib1.final_cell_0504,beta
504,human3_lib1.final_cell_0505,acinar
505,human3_lib1.final_cell_0506,alpha
506,human3_lib1.final_cell_0507,alpha
507,human3_lib1.final_cell_0508,alpha
508,human3_lib1.final_cell_0509,beta
509,human3_lib1.final_cell_0510,alpha
510,human3_lib1.final_cell_0511,alpha
511,human3_lib1.final_cell_0512,gamma
512,human3_lib1.final_cell_0513,beta
513,human3_lib1.final_cell_0514,alpha
514,human3_lib1.final_cell_0515,ductal
515,human3_lib1.final_cell_0516,delta
516,human3_lib1.final_cell_0517,ductal
517,human3_lib1.final_cell_0518,alpha
518,human3_lib1.final_cell_0519,alpha
519,human3_lib1.final_cell_0520,endothelial
520,human3_lib1.final_cell_0521,alpha
521,human3_lib1.final_cell_0522,alpha
522,human3_lib1.final_cell_0523,beta
523,human3_lib1.final_cell_0524,activated_stellate
524,human3_lib1.final_cell_0525,alpha
525,human3_lib1.final_cell_0526,acinar
526,human3_lib1.final_cell_0527,alpha
527,human3_lib1.final_cell_0528,beta
528,human3_lib1.final_cell_0529,ductal
529,human3_lib1.final_cell_0530,acinar
530,human3_lib1.final_cell_0531,beta
531,human3_lib1.final_cell_0532,beta
532,human3_lib1.final_cell_0533,beta
533,human3_lib1.final_cell_0534,alpha
534,human3_lib1.final_cell_0535,delta
535,human3_lib1.final_cell_0536,acinar
536,human3_lib1.final_cell_0537,alpha
537,human3_lib1.final_cell_0538,beta
538,human3_lib1.final_cell_0539,alpha
539,human3_lib1.final_cell_0540,ductal
540,human3_lib1.final_cell_0541,alpha
541,human3_lib1.final_cell_0542,alpha
542,human3_lib1.final_cell_0543,beta
543,human3_lib1.final_cell_0544,alpha
544,human3_lib1.final_cell_0545,acinar
545,human3_lib1.final_cell_0546,acinar
546,human3_lib1.final_cell_0547,beta
547,human3_lib1.final_cell_0548,beta
548,human3_lib1.final_cell_0549,alpha
549,human3_lib1.final_cell_0550,ductal
550,human3_lib1.final_cell_0551,ductal
551,human3_lib1.final_cell_0552,alpha
552,human3_lib1.final_cell_0553,beta
553,human3_lib1.final_cell_0554,ductal
554,human3_lib1.final_cell_0555,alpha
555,human3_lib1.final_cell_0556,macrophage
556,human3_lib1.final_cell_0557,ductal
557,human3_lib1.final_cell_0558,acinar
558,human3_lib1.final_cell_0559,beta
559,human3_lib1.final_cell_0560,acinar
560,human3_lib1.final_cell_0561,beta
561,human3_lib1.final_cell_0562,ductal
562,human3_lib1.final_cell_0563,gamma
563,human3_lib1.final_cell_0564,ductal
564,human3_lib1.final_cell_0565,alpha
565,human3_lib1.final_cell_0566,alpha
566,human3_lib1.final_cell_0567,ductal
567,human3_lib1.final_cell_0568,alpha
568,human3_lib1.final_cell_0569,alpha
569,human3_lib1.final_cell_0570,delta
570,human3_lib1.final_cell_0571,ductal
571,human3_lib1.final_cell_0572,acinar
572,human3_lib1.final_cell_0573,alpha
573,human3_lib1.final_cell_0574,alpha
574,human3_lib1.final_cell_0575,alpha
575,human3_lib1.final_cell_0576,ductal
576,human3_lib1.final_cell_0577,ductal
577,human3_lib1.final_cell_0578,ductal
578,human3_lib1.final_cell_0579,ductal
579,human3_lib1.final_cell_0580,acinar
580,human3_lib1.final_cell_0581,alpha
581,human3_lib1.final_cell_0582,alpha
582,human3_lib1.final_cell_0583,delta
583,human3_lib1.final_cell_0584,delta
584,human3_lib1.final_cell_0585,alpha
585,human3_lib1.final_cell_0586,alpha
586,human3_lib1.final_cell_0587,ductal
587,human3_lib1.final_cell_0588,acinar
588,human3_lib1.final_cell_0589,alpha
589,human3_lib1.final_cell_0590,alpha
590,human3_lib1.final_cell_0591,beta
591,human3_lib1.final_cell_0592,alpha
592,human3_lib1.final_cell_0593,activated_stellate
593,human3_lib1.final_cell_0594,ductal
594,human3_lib1.final_cell_0595,alpha
595,human3_lib1.final_cell_0596,activated_stellate
596,human3_lib1.final_cell_0597,alpha
597,human3_lib1.final_cell_0598,acinar
598,human3_lib1.final_cell_0599,ductal
599,human3_lib1.final_cell_0600,alpha
600,human3_lib1.final_cell_0601,alpha
601,human3_lib1.final_cell_0602,alpha
602,human3_lib1.final_cell_0603,acinar
603,human3_lib1.final_cell_0604,activated_stellate
604,human3_lib1.final_cell_0605,endothelial
605,human3_lib1.final_cell_0606,beta
606,human3_lib1.final_cell_0607,alpha
607,human3_lib1.final_cell_0608,ductal
608,human3_lib1.final_cell_0609,alpha
609,human3_lib1.final_cell_0610,beta
610,human3_lib1.final_cell_0611,alpha
611,human3_lib1.final_cell_0612,alpha
612,human3_lib1.final_cell_0613,quiescent_stellate
613,human3_lib1.final_cell_0614,ductal
614,human3_lib1.final_cell_0615,ductal
615,human3_lib1.final_cell_0616,alpha
616,human3_lib1.final_cell_0617,alpha
617,human3_lib1.final_cell_0618,acinar
618,human3_lib1.final_cell_0619,acinar
619,human3_lib1.final_cell_0620,alpha
620,human3_lib1.final_cell_0621,beta
621,human3_lib1.final_cell_0622,alpha
622,human3_lib1.final_cell_0623,delta
623,human3_lib1.final_cell_0624,alpha
624,human3_lib1.final_cell_0625,acinar
625,human3_lib1.final_cell_0626,beta
626,human3_lib1.final_cell_0627,acinar
627,human3_lib1.final_cell_0628,acinar
628,human3_lib1.final_cell_0629,alpha
629,human3_lib1.final_cell_0630,ductal
630,human3_lib1.final_cell_0631,alpha
631,human3_lib1.final_cell_0632,alpha
632,human3_lib1.final_cell_0633,endothelial
633,human3_lib1.final_cell_0634,ductal
634,human3_lib1.final_cell_0635,ductal
635,human3_lib1.final_cell_0636,ductal
636,human3_lib1.final_cell_0637,alpha
637,human3_lib1.final_cell_0638,alpha
638,human3_lib1.final_cell_0639,activated_stellate
639,human3_lib1.final_cell_0640,beta
640,human3_lib1.final_cell_0641,alpha
641,human3_lib1.final_cell_0642,acinar
642,human3_lib1.final_cell_0643,gamma
643,human3_lib1.final_cell_0644,alpha
644,human3_lib1.final_cell_0645,alpha
645,human3_lib1.final_cell_0646,ductal
646,human3_lib1.final_cell_0647,mast
647,human3_lib1.final_cell_0648,ductal
648,human3_lib1.final_cell_0649,alpha
649,human3_lib1.final_cell_0650,acinar
650,human3_lib1.final_cell_0651,alpha
651,human3_lib1.final_cell_0652,quiescent_stellate
652,human3_lib1.final_cell_0653,activated_stellate
653,human3_lib1.final_cell_0654,beta
654,human3_lib1.final_cell_0655,acinar
655,human3_lib1.final_cell_0656,alpha
656,human3_lib1.final_cell_0657,alpha
657,human3_lib1.final_cell_0658,alpha
658,human3_lib1.final_cell_0659,ductal
659,human3_lib1.final_cell_0660,acinar
660,human3_lib1.final_cell_0661,acinar
661,human3_lib1.final_cell_0662,endothelial
662,human3_lib1.final_cell_0663,ductal
663,human3_lib1.final_cell_0664,alpha
664,human3_lib1.final_cell_0665,delta
665,human3_lib1.final_cell_0666,alpha
666,human3_lib1.final_cell_0667,ductal
667,human3_lib1.final_cell_0668,alpha
668,human3_lib1.final_cell_0669,activated_stellate
