,Cell,Cluster
382,GSM1657904,OPC
384,GSM1657906,OPC
385,GSM1657907,OPC
386,GSM1657908,OPC
387,GSM1657909,OPC
388,GSM1657910,microglia
389,GSM1657911,OPC
391,GSM1657913,OPC
392,GSM1657914,OPC
393,GSM1657915,OPC
394,GSM1657916,OPC
395,GSM1657917,OPC
396,GSM1657918,microglia
397,GSM1657919,microglia
398,GSM1657920,OPC
399,GSM1657921,OPC
400,GSM1657922,OPC
401,GSM1657923,microglia
402,GSM1657924,OPC
403,GSM1657925,microglia
404,GSM1657926,microglia
405,GSM1657927,microglia
406,GSM1657928,OPC
408,GSM1657930,neurons
409,GSM1657931,neurons
410,GSM1657932,astrocytes
411,GSM1657933,neurons
412,GSM1657934,microglia
413,GSM1657935,neurons
415,GSM1657937,neurons
416,GSM1657938,astrocytes
417,GSM1657939,neurons
418,GSM1657940,neurons
419,GSM1657941,neurons
420,GSM1657942,neurons
421,GSM1657943,neurons
422,GSM1657944,oligodendrocytes
423,GSM1657945,neurons
424,GSM1657946,neurons
426,GSM1657948,neurons
427,GSM1657949,neurons
428,GSM1657950,neurons
429,GSM1657951,neurons
430,GSM1657952,neurons
431,GSM1657953,neurons
432,GSM1657954,neurons
433,GSM1657955,neurons
434,GSM1657956,neurons
435,GSM1657957,neurons
436,GSM1657958,neurons
437,GSM1657959,neurons
438,GSM1657960,neurons
439,GSM1657961,neurons
440,GSM1657962,neurons
441,GSM1657963,neurons
442,GSM1657964,neurons
443,GSM1657965,astrocytes
444,GSM1657966,neurons
445,GSM1657967,neurons
446,GSM1657968,neurons
447,GSM1657969,astrocytes
448,GSM1657970,neurons
449,GSM1657971,neurons
450,GSM1657972,endothelial
451,GSM1657973,neurons
452,GSM1657974,neurons
453,GSM1657975,astrocytes
454,GSM1657976,neurons
455,GSM1657977,neurons
456,GSM1657978,neurons
457,GSM1657979,astrocytes
458,GSM1657980,neurons
459,GSM1657981,astrocytes
460,GSM1657982,neurons
461,GSM1657983,neurons
462,GSM1657984,neurons
463,GSM1657985,neurons
464,GSM1657986,neurons
465,GSM1657987,neurons
