,0,1
D31.2_64,0,alpha
D31.2_67,0,alpha
D31.2_7,0,alpha
D31.2_74,0,alpha
D31.2_81,0,alpha
D31.2_82,0,alpha
D31.2_89,0,alpha
D31.2_9,0,alpha
D31.2_93,0,alpha
D31.3_13,0,alpha
D31.3_18,0,alpha
D31.3_19,0,alpha
D31.3_2,0,alpha
D31.3_24,0,alpha
D31.3_27,0,alpha
D31.3_28,0,alpha
D31.3_29,0,alpha
D31.3_3,0,alpha
D31.3_32,0,alpha
D31.3_35,0,alpha
D31.3_38,0,alpha
D31.3_39,0,alpha
D31.3_45,0,alpha
D31.3_46,0,alpha
D31.3_5,0,alpha
D31.3_52,0,alpha
D31.3_55,0,alpha
D31.3_57,0,alpha
D31.3_70,0,alpha
D31.3_76,0,alpha
D31.3_79,0,alpha
D31.3_84,0,alpha
D31.3_85,0,alpha
D31.3_90,0,alpha
D31.3_91,0,alpha
D31.3_94,0,alpha
D31.4_1,0,alpha
D31.4_11,0,alpha
D31.4_18,0,alpha
D31.4_20,0,alpha
D31.4_22,0,alpha
D31.4_23,0,alpha
D31.4_24,0,alpha
D31.4_26,0,alpha
D31.4_27,0,alpha
D31.4_29,0,alpha
D31.4_30,0,alpha
D31.4_31,0,alpha
D31.4_32,0,alpha
D31.4_42,0,alpha
D31.4_47,0,alpha
D31.4_5,0,alpha
D31.4_50,0,alpha
D31.4_52,0,alpha
D31.4_53,0,alpha
D31.4_54,0,alpha
D31.4_59,0,alpha
D31.4_6,0,alpha
D31.4_61,0,alpha
D31.4_7,0,alpha
D31.4_80,0,alpha
D31.4_81,0,alpha
D31.4_84,0,alpha
D31.4_87,0,alpha
D31.4_89,0,alpha
D31.5_10,0,alpha
D31.5_11,0,alpha
D31.5_12,0,alpha
D31.5_17,0,alpha
D31.5_2,0,alpha
D31.5_20,0,alpha
D31.5_21,0,alpha
D31.5_24,0,alpha
D31.5_25,0,alpha
D31.5_33,0,alpha
D31.5_35,0,alpha
D31.5_36,0,alpha
D31.5_44,0,alpha
D31.5_49,0,alpha
D31.5_50,0,alpha
D31.5_53,0,alpha
D31.5_54,0,alpha
D31.5_56,0,alpha
D31.5_58,0,alpha
D31.5_59,0,alpha
D31.5_62,0,alpha
D31.5_63,0,alpha
D31.5_66,0,alpha
D31.5_67,0,alpha
D31.5_68,0,alpha
D31.5_76,0,alpha
D31.5_8,0,alpha
D31.5_86,0,alpha
D31.5_87,0,alpha
D31.5_88,0,alpha
D31.5_90,0,alpha
D31.5_93,0,alpha
D31.6_10,0,alpha
D31.6_18,0,alpha
D31.6_2,0,alpha
D31.6_30,0,alpha
D31.6_35,0,alpha
D31.6_36,0,alpha
D31.6_45,0,alpha
D31.6_48,0,alpha
D31.6_54,0,alpha
D31.6_55,0,alpha
D31.6_56,0,alpha
D31.6_59,0,alpha
D31.6_63,0,alpha
D31.6_64,0,alpha
D31.6_74,0,alpha
D31.6_77,0,alpha
D31.6_83,0,alpha
D31.6_88,0,alpha
D31.6_89,0,alpha
D31.6_90,0,alpha
D31.6_91,0,alpha
D31.6_94,0,alpha
D31.7_14,0,alpha
D31.7_17,0,alpha
D31.7_19,0,alpha
D31.7_2,0,alpha
D31.7_25,0,alpha
D31.7_28,0,alpha
D31.7_30,0,alpha
D31.7_33,0,alpha
D31.7_35,0,alpha
D31.7_36,0,alpha
D31.7_37,0,alpha
D31.7_41,0,alpha
D31.7_44,0,alpha
D31.7_49,0,alpha
D31.7_50,0,alpha
D31.7_51,0,alpha
D31.7_54,0,alpha
D31.7_6,0,alpha
D31.7_61,0,alpha
D31.7_62,0,alpha
D31.7_64,0,alpha
D31.7_65,0,alpha
D31.7_68,0,alpha
D31.7_71,0,alpha
D31.7_75,0,alpha
D31.7_8,0,alpha
D31.7_80,0,alpha
D31.7_93,0,alpha
D31.8_12,0,alpha
D31.8_14,0,alpha
D31.8_2,0,alpha
D31.8_24,0,alpha
D31.8_33,0,alpha
D31.8_38,0,alpha
D31.8_44,0,alpha
D31.8_46,0,alpha
D31.8_5,0,alpha
D31.8_52,0,alpha
D31.8_57,0,alpha
D31.8_6,0,alpha
D31.8_61,0,alpha
D31.8_62,0,alpha
D31.8_65,0,alpha
D31.8_82,0,alpha
D31.8_86,0,alpha
D31.8_9,0,alpha
D31.8_93,0,alpha
D29.5_43,0,beta
D29.8_86,0,beta
D29.8_15,0,delta
D29.7_23,0,gamma
D29.7_89,1,beta
D30.2_31,1,beta
D31.1_80,1,beta
D31.3_54,1,beta
D31.6_71,1,beta
D31.7_79,1,beta
D31.8_25,1,beta
D29.4_84,1,epsilon
D29.7_71,1,epsilon
D31.6_25,1,epsilon
D28.1_76,1,gamma
D28.1_85,1,gamma
D28.2_63,1,gamma
D28.2_91,1,gamma
D28.3_14,1,gamma
D28.3_18,1,gamma
D28.4_26,1,gamma
D28.4_38,1,gamma
D28.4_90,1,gamma
D29.1_12,1,gamma
D29.1_15,1,gamma
D29.1_30,1,gamma
D29.1_35,1,gamma
D29.1_58,1,gamma
D29.1_66,1,gamma
D29.1_67,1,gamma
D29.1_71,1,gamma
D29.1_72,1,gamma
D29.1_73,1,gamma
D29.1_86,1,gamma
D29.1_90,1,gamma
D29.2_19,1,gamma
D29.2_42,1,gamma
D29.2_43,1,gamma
D29.2_47,1,gamma
D29.2_58,1,gamma
D29.2_59,1,gamma
D29.2_64,1,gamma
D29.2_68,1,gamma
D29.2_78,1,gamma
D29.2_87,1,gamma
D29.2_92,1,gamma
D29.3_1,1,gamma
D29.3_15,1,gamma
D29.3_16,1,gamma
D29.3_32,1,gamma
D29.3_44,1,gamma
D29.3_71,1,gamma
D29.4_20,1,gamma
D29.4_3,1,gamma
D29.4_4,1,gamma
D29.4_48,1,gamma
D29.4_6,1,gamma
D29.4_86,1,gamma
D29.5_51,1,gamma
D29.5_6,1,gamma
D29.5_79,1,gamma
D29.6_11,1,gamma
D29.6_33,1,gamma
D29.6_4,1,gamma
D29.6_55,1,gamma
D29.6_6,1,gamma
D29.6_88,1,gamma
D29.6_9,1,gamma
D29.7_30,1,gamma
D29.7_34,1,gamma
D29.7_35,1,gamma
D29.7_36,1,gamma
D29.7_40,1,gamma
D29.7_60,1,gamma
D29.7_61,1,gamma
D29.7_77,1,gamma
D29.7_8,1,gamma
D29.7_93,1,gamma
D29.7_94,1,gamma
D29.8_19,1,gamma
D29.8_43,1,gamma
D29.8_48,1,gamma
D30.2_8,1,gamma
D30.3_15,1,gamma
D30.3_21,1,gamma
D30.5_74,1,gamma
D30.6_90,1,gamma
D31.1_65,1,gamma
D31.1_79,1,gamma
D31.1_81,1,gamma
D31.2_55,1,gamma
D31.2_60,1,gamma
D31.3_30,1,gamma
D31.3_56,1,gamma
D31.3_61,1,gamma
D31.3_72,1,gamma
D31.3_77,1,gamma
D31.4_15,1,gamma
D31.4_37,1,gamma
D31.4_4,1,gamma
D31.4_40,1,gamma
D31.6_32,1,gamma
D31.6_5,1,gamma
D31.7_15,1,gamma
D31.7_92,1,gamma
D31.8_10,1,gamma
D31.8_15,1,gamma
D31.8_26,1,gamma
D31.8_36,1,gamma
D31.8_67,1,gamma
D31.8_70,1,gamma
D31.8_87,1,gamma
D28.1_37,2,acinar
D28.1_38,2,acinar
D28.1_50,2,acinar
D28.1_55,2,acinar
D28.1_62,2,acinar
D28.1_67,2,acinar
D28.1_68,2,acinar
D28.1_73,2,acinar
D28.1_86,2,acinar
D28.1_87,2,acinar
D28.2_1,2,acinar
D28.2_15,2,acinar
D28.2_18,2,acinar
D28.2_39,2,acinar
D28.2_4,2,acinar
D28.2_42,2,acinar
D28.2_49,2,acinar
D28.2_53,2,acinar
D28.2_61,2,acinar
D28.2_74,2,acinar
D28.2_75,2,acinar
D28.2_86,2,acinar
D28.2_87,2,acinar
D28.2_89,2,acinar
D28.3_25,2,acinar
D28.3_26,2,acinar
D28.3_28,2,acinar
D28.3_31,2,acinar
D28.3_4,2,acinar
D28.3_40,2,acinar
D28.3_44,2,acinar
D28.3_50,2,acinar
D28.3_51,2,acinar
D28.3_52,2,acinar
D28.3_62,2,acinar
D28.3_65,2,acinar
D28.3_75,2,acinar
D28.3_77,2,acinar
D28.3_85,2,acinar
D28.3_90,2,acinar
D28.3_91,2,acinar
D28.4_17,2,acinar
D28.4_4,2,acinar
D28.4_49,2,acinar
D28.4_51,2,acinar
D28.4_53,2,acinar
D28.4_54,2,acinar
D28.4_61,2,acinar
D28.4_63,2,acinar
D28.4_67,2,acinar
D28.4_85,2,acinar
D28.4_86,2,acinar
D28.4_89,2,acinar
D29.1_68,2,acinar
D29.3_6,2,acinar
D29.5_73,2,acinar
D29.7_49,2,acinar
D29.7_5,2,acinar
D30.1_1,2,acinar
D30.1_19,2,acinar
D30.1_29,2,acinar
D30.1_30,2,acinar
D30.1_55,2,acinar
D30.1_61,2,acinar
D30.1_63,2,acinar
D30.1_72,2,acinar
D30.1_91,2,acinar
D30.2_1,2,acinar
D30.2_11,2,acinar
D30.2_17,2,acinar
D30.2_27,2,acinar
D30.2_41,2,acinar
D30.2_42,2,acinar
D30.2_43,2,acinar
D30.2_45,2,acinar
D30.2_51,2,acinar
D30.2_53,2,acinar
D30.2_56,2,acinar
D30.2_60,2,acinar
D30.2_76,2,acinar
D30.3_2,2,acinar
D30.3_45,2,acinar
D30.3_63,2,acinar
D30.3_91,2,acinar
D30.4_18,2,acinar
D30.4_62,2,acinar
D30.4_81,2,acinar
D30.4_82,2,acinar
D30.5_36,2,acinar
D30.5_45,2,acinar
D30.5_79,2,acinar
D30.5_89,2,acinar
D30.6_37,2,acinar
D30.6_40,2,acinar
D30.6_44,2,acinar
D30.6_5,2,acinar
D30.6_80,2,acinar
D30.7_1,2,acinar
D30.7_11,2,acinar
D30.7_20,2,acinar
D30.7_24,2,acinar
D30.7_28,2,acinar
D30.7_39,2,acinar
D30.7_91,2,acinar
D30.8_33,2,acinar
D30.8_36,2,acinar
D30.8_37,2,acinar
D30.8_63,2,acinar
D30.8_65,2,acinar
D30.8_69,2,acinar
D30.8_81,2,acinar
D30.8_84,2,acinar
D31.1_19,2,acinar
D31.1_21,2,acinar
D31.1_22,2,acinar
D31.1_25,2,acinar
D31.1_27,2,acinar
D31.1_44,2,acinar
D31.1_45,2,acinar
D31.1_48,2,acinar
D31.1_5,2,acinar
D31.1_51,2,acinar
D31.1_58,2,acinar
D31.1_7,2,acinar
D31.1_70,2,acinar
D31.1_88,2,acinar
D31.1_9,2,acinar
D31.2_15,2,acinar
D31.2_18,2,acinar
D31.2_26,2,acinar
D31.2_30,2,acinar
D31.2_38,2,acinar
D31.2_53,2,acinar
D31.2_6,2,acinar
D31.2_61,2,acinar
D31.2_69,2,acinar
D31.2_75,2,acinar
D31.2_83,2,acinar
D31.2_86,2,acinar
D31.3_1,2,acinar
D31.3_14,2,acinar
D31.3_23,2,acinar
D31.3_26,2,acinar
D31.3_36,2,acinar
D31.3_40,2,acinar
D31.3_48,2,acinar
D31.3_53,2,acinar
D31.3_60,2,acinar
D31.3_63,2,acinar
D31.3_64,2,acinar
D31.3_69,2,acinar
D31.3_73,2,acinar
D31.3_78,2,acinar
D31.3_86,2,acinar
D31.3_89,2,acinar
D31.4_13,2,acinar
D31.4_14,2,acinar
D31.4_36,2,acinar
D31.4_41,2,acinar
D31.4_43,2,acinar
D31.4_48,2,acinar
D31.4_55,2,acinar
