Cell,Cluster
D28.3_73,ductal
D28.3_75,acinar
D28.3_76,alpha
D28.3_77,acinar
D28.3_78,delta
D28.3_79,alpha
D28.3_8,alpha
D28.3_85,acinar
D28.3_86,ductal
D28.3_88,ductal
D28.3_89,alpha
D28.3_90,acinar
D28.3_91,acinar
D28.3_92,alpha
D28.4_1,ductal
D28.4_13,alpha
D28.4_14,ductal
D28.4_15,alpha
D28.4_17,acinar
D28.4_22,ductal
D28.4_26,gamma
D28.4_27,alpha
D28.4_28,ductal
D28.4_29,alpha
D28.4_3,delta
D28.4_30,alpha
D28.4_31,beta
D28.4_37,alpha
D28.4_38,gamma
D28.4_39,alpha
D28.4_4,acinar
D28.4_40,ductal
D28.4_41,alpha
D28.4_43,ductal
D28.4_49,acinar
D28.4_50,ductal
D28.4_51,acinar
D28.4_52,ductal
D28.4_53,acinar
D28.4_54,acinar
D28.4_55,ductal
D28.4_56,alpha
D28.4_61,acinar
D28.4_62,alpha
D28.4_63,acinar
D28.4_65,alpha
D28.4_67,acinar
D28.4_73,ductal
D28.4_74,ductal
D28.4_75,ductal
D28.4_76,alpha
D28.4_77,beta
D28.4_78,ductal
D28.4_85,acinar
D28.4_86,acinar
D28.4_87,alpha
D28.4_88,alpha
D28.4_89,acinar
D28.4_90,gamma
D28.4_91,ductal
D29.1_1,alpha
D29.1_11,alpha
D29.1_12,gamma
D29.1_13,alpha
D29.1_15,gamma
D29.1_16,delta
D29.1_17,alpha
D29.1_18,alpha
D29.1_19,alpha
D29.1_2,endothelial
D29.1_20,alpha
D29.1_21,beta
D29.1_24,beta
D29.1_26,alpha
D29.1_27,alpha
D29.1_29,alpha
D29.1_3,delta
D29.1_30,gamma
D29.1_32,alpha
D29.1_33,delta
D29.1_34,alpha
D29.1_35,gamma
D29.1_36,beta
D29.1_37,alpha
D29.1_38,alpha
D29.1_39,beta
D29.1_4,alpha
D29.1_40,beta
D29.1_41,alpha
D29.1_42,delta
D29.1_44,alpha
D29.1_45,delta
D29.1_46,alpha
D29.1_47,alpha
D29.1_48,beta
D29.1_49,delta
D29.1_50,alpha
D29.1_51,alpha
D29.1_52,beta
D29.1_53,beta
D29.1_54,ductal
D29.1_55,alpha
D29.1_56,delta
D29.1_57,delta
D29.1_58,gamma
D29.1_59,alpha
D29.1_6,alpha
D29.1_60,alpha
D29.1_61,mesenchymal
D29.1_62,alpha
D29.1_65,ductal
D29.1_66,gamma
D29.1_67,gamma
D29.1_68,acinar
D29.1_69,alpha
D29.1_7,alpha
D29.1_70,beta
D29.1_71,gamma
D29.1_72,gamma
D29.1_73,gamma
D29.1_74,delta
D29.1_75,beta
D29.1_76,alpha
D29.1_77,beta
D29.1_78,beta
D29.1_79,beta
D29.1_8,delta
D29.1_80,alpha
D29.1_81,beta
D29.1_82,beta
D29.1_83,delta
D29.1_84,beta
D29.1_86,gamma
D29.1_87,alpha
D29.1_88,beta
D29.1_89,alpha
D29.1_90,gamma
D29.1_92,beta
D29.1_93,delta
D29.1_94,beta
D29.2_1,mesenchymal
D29.2_10,delta
D29.2_11,beta
D29.2_12,ductal
D29.2_13,alpha
D29.2_15,alpha
D29.2_16,delta
D29.2_18,beta
D29.2_19,gamma
D29.2_20,beta
D29.2_22,alpha
D29.2_24,beta
D29.2_25,alpha
D29.2_26,beta
D29.2_27,beta
D29.2_28,alpha
D29.2_3,alpha
D29.2_30,beta
D29.2_31,alpha
D29.2_33,alpha
D29.2_34,delta
D29.2_35,alpha
D29.2_37,alpha
D29.2_38,alpha
D29.2_39,alpha
D29.2_4,delta
D29.2_41,alpha
D29.2_42,gamma
D29.2_43,gamma
D29.2_45,alpha
D29.2_46,delta
D29.2_47,gamma
D29.2_48,alpha
D29.2_49,ductal
D29.2_5,beta
D29.2_50,beta
D29.2_51,alpha
D29.2_52,alpha
D29.2_53,beta
D29.2_54,ductal
D29.2_56,beta
D29.2_57,ductal
D29.2_58,gamma
D29.2_59,gamma
D29.2_6,alpha
D29.2_60,beta
D29.2_61,ductal
D29.2_62,beta
D29.2_63,ductal
D29.2_64,gamma
D29.2_65,ductal
D29.2_66,beta
D29.2_67,alpha
D29.2_68,gamma
D29.2_69,alpha
D29.2_7,ductal
D29.2_70,beta
D29.2_71,alpha
D29.2_72,beta
D29.2_74,alpha
D29.2_75,alpha
D29.2_76,alpha
D29.2_78,gamma
D29.2_79,beta
D29.2_8,alpha
D29.2_80,beta
D29.2_81,beta
D29.2_82,delta
D29.2_84,alpha
D29.2_87,gamma
D29.2_88,ductal
D29.2_89,beta
D29.2_9,delta
D29.2_90,alpha
D29.2_91,alpha
D29.2_92,gamma
D29.2_93,alpha
D29.2_94,alpha
D29.3_1,gamma
D29.3_11,delta
D29.3_12,beta
D29.3_13,delta
D29.3_15,gamma
D29.3_16,gamma
D29.3_17,ductal
D29.3_18,alpha
D29.3_21,beta
D29.3_22,alpha
D29.3_23,beta
D29.3_24,beta
D29.3_25,alpha
D29.3_28,beta
D29.3_29,alpha
D29.3_3,alpha
D29.3_30,alpha
D29.3_31,alpha
D29.3_32,gamma
D29.3_33,alpha
D29.3_34,alpha
D29.3_36,beta
D29.3_37,beta
D29.3_38,alpha
D29.3_39,beta
D29.3_40,alpha
D29.3_42,alpha
D29.3_43,delta
D29.3_44,gamma
D29.3_45,delta
D29.3_47,alpha
D29.3_48,beta
D29.3_49,alpha
D29.3_5,beta
D29.3_50,unclear
D29.3_51,beta
D29.3_52,beta
D29.3_53,alpha
D29.3_54,alpha
D29.3_56,alpha
D29.3_57,delta
D29.3_58,delta
D29.3_59,beta
D29.3_6,acinar
D29.3_60,alpha
D29.3_61,beta
D29.3_64,beta
D29.3_66,alpha
D29.3_68,beta
D29.3_69,delta
D29.3_7,beta
D29.3_71,gamma
D29.3_72,alpha
D29.3_73,mesenchymal
D29.3_74,alpha
D29.3_76,alpha
D29.3_77,alpha
D29.3_78,beta
D29.3_79,alpha
D29.3_8,delta
D29.3_81,alpha
D29.3_82,delta
D29.3_83,beta
D29.3_84,alpha
D29.3_85,delta
D29.3_86,beta
D29.3_87,beta
D29.3_9,delta
D29.3_92,alpha
D29.3_93,alpha
D29.3_94,beta
D29.4_12,alpha
D29.4_13,alpha
D29.4_15,alpha
D29.4_16,alpha
D29.4_17,delta
D29.4_18,alpha
D29.4_19,beta
D29.4_2,alpha
D29.4_20,gamma
D29.4_22,alpha
D29.4_23,beta
D29.4_25,alpha
D29.4_26,alpha
D29.4_27,beta
D29.4_28,alpha
D29.4_29,alpha
D29.4_3,gamma
D29.4_30,alpha
D29.4_31,beta
D29.4_33,alpha
D29.4_34,alpha
D29.4_35,alpha
D29.4_38,alpha
D29.4_39,beta
D29.4_4,gamma
D29.4_41,delta
D29.4_42,beta
D29.4_43,delta
D29.4_44,beta
D29.4_45,ductal
D29.4_46,alpha
D29.4_47,ductal
D29.4_48,gamma
D29.4_49,alpha
D29.4_5,alpha
D29.4_50,alpha
D29.4_51,alpha
D29.4_52,beta
D29.4_53,alpha
D29.4_55,alpha
D29.4_56,alpha
D29.4_57,alpha
D29.4_58,alpha
D29.4_59,beta
D29.4_6,gamma
D29.4_60,alpha
D29.4_61,alpha
D29.4_62,alpha
D29.4_63,beta
D29.4_64,delta
D29.4_65,alpha
D29.4_66,alpha
D29.4_67,beta
D29.4_68,alpha
D29.4_70,alpha
D29.4_72,alpha
D29.4_73,beta
D29.4_74,alpha
D29.4_75,alpha
D29.4_77,alpha
D29.4_79,beta
D29.4_8,mesenchymal
D29.4_80,alpha
D29.4_81,delta
D29.4_82,mesenchymal
D29.4_83,delta
D29.4_84,epsilon
D29.4_85,alpha
D29.4_86,gamma
D29.4_88,beta
D29.4_9,alpha
D29.4_90,delta
D29.4_92,beta
D29.4_93,alpha
D29.4_94,beta
D29.5_10,beta
D29.5_11,alpha
D29.5_12,beta
D29.5_14,beta
D29.5_17,alpha
D29.5_18,alpha
D29.5_19,alpha
D29.5_20,beta
D29.5_21,beta
D29.5_22,beta
D29.5_23,beta
D29.5_24,alpha
D29.5_3,alpha
D29.5_30,beta
D29.5_31,alpha
D29.5_32,delta
D29.5_33,alpha
D29.5_34,beta
D29.5_35,alpha
D29.5_36,delta
D29.5_37,beta
D29.5_39,alpha
D29.5_40,beta
D29.5_43,beta
D29.5_44,alpha
D29.5_46,alpha
D29.5_47,delta
D29.5_48,beta
D29.5_49,alpha
D29.5_51,gamma
D29.5_52,beta
D29.5_53,beta
D29.5_54,alpha
D29.5_55,beta
D29.5_56,alpha
D29.5_57,alpha
D29.5_58,beta
D29.5_59,alpha
D29.5_6,gamma
D29.5_60,beta
D29.5_61,beta
D29.5_62,beta
D29.5_63,beta
D29.5_64,ductal
D29.5_65,alpha
D29.5_66,delta
D29.5_67,alpha
D29.5_68,alpha
D29.5_69,beta
D29.5_7,alpha
D29.5_70,beta
D29.5_71,alpha
D29.5_73,acinar
D29.5_75,alpha
D29.5_76,delta
D29.5_77,delta
D29.5_78,gamma
D29.5_79,gamma
D29.5_8,alpha
D29.5_82,alpha
D29.5_83,delta
D29.5_86,beta
D29.5_87,alpha
D29.5_89,ductal
D29.5_91,beta
D29.5_92,alpha
D29.6_1,alpha
D29.6_10,delta
D29.6_11,gamma
D29.6_16,beta
D29.6_17,alpha
D29.6_19,alpha
D29.6_21,alpha
D29.6_22,delta
D29.6_24,alpha
D29.6_26,alpha
D29.6_27,alpha
D29.6_28,beta
D29.6_29,alpha
D29.6_3,beta
D29.6_30,delta
D29.6_32,beta
D29.6_33,gamma
D29.6_34,alpha
D29.6_38,alpha
D29.6_39,beta
D29.6_4,gamma
D29.6_40,alpha
D29.6_41,alpha
D29.6_42,alpha
D29.6_43,beta
D29.6_44,delta
D29.6_46,delta
D29.6_48,alpha
D29.6_50,beta
D29.6_51,alpha
D29.6_52,alpha
D29.6_53,alpha
D29.6_54,alpha
D29.6_55,gamma
D29.6_56,beta
D29.6_57,alpha
D29.6_58,alpha
D29.6_59,beta
D29.6_6,gamma
D29.6_60,alpha
D29.6_62,beta
D29.6_63,delta
D29.6_64,alpha
D29.6_65,alpha
D29.6_66,delta
D29.6_67,beta
D29.6_69,alpha
D29.6_70,beta
D29.6_72,beta
D29.6_77,beta
D29.6_78,alpha
D29.6_79,beta
D29.6_8,alpha
D29.6_80,beta
D29.6_82,alpha
D29.6_84,alpha
D29.6_86,alpha
D29.6_87,delta
D29.6_88,gamma
D29.6_89,alpha
D29.6_9,gamma
D29.6_90,alpha
D29.6_91,alpha
D29.6_94,alpha
D29.7_1,alpha
D29.7_12,beta
D29.7_14,beta
D29.7_17,beta
D29.7_18,endothelial
D29.7_19,delta
D29.7_2,beta
D29.7_20,ductal
D29.7_21,delta
D29.7_23,gamma
D29.7_25,alpha
D29.7_28,delta
D29.7_3,beta
D29.7_30,gamma
D29.7_31,beta
D29.7_32,alpha
D29.7_33,alpha
D29.7_34,gamma
D29.7_35,gamma
D29.7_36,gamma
D29.7_37,beta
D29.7_38,alpha
D29.7_39,beta
D29.7_4,delta
D29.7_40,gamma
D29.7_41,beta
D29.7_42,beta
D29.7_43,alpha
D29.7_44,alpha
D29.7_45,beta
D29.7_46,alpha
D29.7_47,alpha
D29.7_48,beta
D29.7_49,acinar
D29.7_5,acinar
D29.7_50,alpha
D29.7_51,alpha
D29.7_52,beta
D29.7_54,delta
D29.7_55,alpha
D29.7_56,alpha
D29.7_57,alpha
D29.7_58,beta
D29.7_59,alpha
D29.7_6,alpha
D29.7_60,gamma
D29.7_61,gamma
D29.7_62,ductal
D29.7_63,delta
D29.7_64,alpha
D29.7_65,alpha
D29.7_68,beta
D29.7_69,beta
D29.7_70,alpha
D29.7_71,epsilon
D29.7_72,alpha
D29.7_73,alpha
D29.7_74,beta
D29.7_75,beta
D29.7_76,alpha
D29.7_77,gamma
D29.7_78,delta
D29.7_79,delta
D29.7_8,gamma
D29.7_80,alpha
D29.7_81,delta
D29.7_82,alpha
D29.7_84,alpha
D29.7_85,alpha
D29.7_86,beta
D29.7_87,beta
D29.7_89,beta
D29.7_90,alpha
D29.7_92,alpha
D29.7_93,gamma
D29.7_94,gamma
D29.8_10,delta
D29.8_11,beta
D29.8_12,beta
D29.8_13,delta
D29.8_14,alpha
D29.8_15,delta
D29.8_18,alpha
D29.8_19,gamma
D29.8_2,alpha
D29.8_20,alpha
D29.8_23,beta
D29.8_24,alpha
D29.8_25,alpha
D29.8_27,alpha
D29.8_29,alpha
D29.8_30,alpha
D29.8_32,alpha
D29.8_33,alpha
D29.8_34,beta
D29.8_35,alpha
D29.8_37,alpha
D29.8_39,alpha
D29.8_4,mesenchymal
D29.8_40,alpha
D29.8_43,gamma
D29.8_45,alpha
D29.8_46,delta
D29.8_48,gamma
D29.8_49,beta
D29.8_50,beta
D29.8_51,alpha
D29.8_52,beta
D29.8_54,delta
D29.8_55,alpha
D29.8_56,alpha
D29.8_59,alpha
D29.8_60,alpha
D29.8_62,delta
D29.8_63,ductal
D29.8_64,alpha
D29.8_65,alpha
D29.8_66,alpha
D29.8_67,beta
D29.8_68,delta
D29.8_7,alpha
D29.8_72,delta
D29.8_73,delta
D29.8_74,beta
D29.8_75,ductal
D29.8_76,alpha
D29.8_77,alpha
D29.8_79,delta
D29.8_8,beta
D29.8_80,delta
D29.8_81,delta
D29.8_82,alpha
D29.8_83,delta
D29.8_84,alpha
D29.8_86,beta
D29.8_87,beta
D29.8_88,ductal
D29.8_90,beta
D29.8_91,beta
D29.8_94,beta
D30.1_1,acinar
D30.1_10,alpha
D30.1_13,ductal
D30.1_14,beta
D30.1_15,alpha
D30.1_16,alpha
D30.1_17,alpha
D30.1_19,acinar
D30.1_20,delta
D30.1_21,alpha
D30.1_22,acinar
D30.1_23,alpha
D30.1_24,alpha
D30.1_25,mesenchymal
D30.1_26,beta
D30.1_27,alpha
D30.1_28,alpha
D30.1_29,acinar
D30.1_30,acinar
D30.1_31,ductal
D30.1_33,beta
D30.1_35,alpha
D30.1_36,ductal
D30.1_37,alpha
D30.1_38,alpha
D30.1_39,beta
D30.1_4,alpha
D30.1_40,alpha
D30.1_41,alpha
D30.1_42,ductal
D30.1_43,ductal
D30.1_44,endothelial
D30.1_45,beta
D30.1_46,ductal
D30.1_47,alpha
D30.1_49,alpha
D30.1_5,delta
D30.1_51,beta
D30.1_52,alpha
D30.1_53,beta
D30.1_54,alpha
D30.1_55,acinar
D30.1_56,alpha
D30.1_57,beta
D30.1_58,alpha
D30.1_59,alpha
D30.1_6,delta
D30.1_60,alpha
D30.1_61,acinar
D30.1_63,acinar
D30.1_64,alpha
D30.1_65,beta
D30.1_66,alpha
D30.1_67,beta
D30.1_69,delta
D30.1_7,alpha
D30.1_70,mesenchymal
D30.1_71,alpha
D30.1_72,acinar
D30.1_73,alpha
D30.1_74,beta
D30.1_75,alpha
D30.1_77,endothelial
D30.1_78,ductal
D30.1_79,mesenchymal
D30.1_81,alpha
D30.1_82,alpha
D30.1_83,delta
D30.1_84,alpha
D30.1_85,beta
D30.1_86,alpha
D30.1_87,alpha
D30.1_88,ductal
D30.1_89,beta
D30.1_9,alpha
D30.1_90,alpha
D30.1_91,acinar
D30.1_93,beta
D30.1_94,beta
D30.2_1,acinar
D30.2_10,alpha
D30.2_11,acinar
D30.2_12,alpha
D30.2_13,alpha
D30.2_14,alpha
D30.2_15,alpha
D30.2_16,alpha
D30.2_17,acinar
D30.2_18,alpha
D30.2_19,alpha
D30.2_2,alpha
D30.2_20,delta
D30.2_21,alpha
D30.2_22,delta
D30.2_23,alpha
D30.2_24,alpha
D30.2_25,alpha
D30.2_26,delta
D30.2_27,acinar
D30.2_28,alpha
D30.2_29,mesenchymal
D30.2_3,delta
D30.2_30,beta
D30.2_31,beta
D30.2_32,beta
D30.2_33,beta
D30.2_34,alpha
D30.2_35,ductal
D30.2_37,alpha
D30.2_38,ductal
D30.2_39,delta
D30.2_4,ductal
D30.2_40,alpha
D30.2_41,acinar
D30.2_42,acinar
D30.2_43,acinar
D30.2_44,beta
D30.2_45,acinar
D30.2_46,beta
D30.2_47,alpha
D30.2_48,beta
D30.2_49,delta
D30.2_5,alpha
D30.2_50,ductal
D30.2_51,acinar
D30.2_52,delta
D30.2_53,acinar
D30.2_54,delta
D30.2_55,beta
D30.2_56,acinar
D30.2_57,beta
D30.2_58,ductal
D30.2_59,mesenchymal
D30.2_6,mesenchymal
D30.2_60,acinar
D30.2_61,beta
D30.2_62,alpha
D30.2_65,alpha
D30.2_67,alpha
D30.2_68,alpha
D30.2_7,beta
D30.2_70,alpha
D30.2_71,beta
D30.2_72,alpha
D30.2_73,alpha
D30.2_74,delta
D30.2_75,alpha
D30.2_76,acinar
D30.2_77,mesenchymal
D30.2_78,alpha
D30.2_79,ductal
D30.2_8,gamma
D30.2_80,alpha
D30.2_81,alpha
D30.2_82,delta
D30.2_83,alpha
D30.2_84,ductal
D30.2_85,alpha
D30.2_86,alpha
D30.2_87,beta
D30.2_88,alpha
D30.2_89,delta
D30.2_9,ductal
D30.2_90,beta
D30.2_91,alpha
D30.2_92,mesenchymal
D30.2_93,mesenchymal
D30.2_94,alpha
D30.3_1,alpha
D30.3_10,beta
D30.3_11,alpha
D30.3_12,alpha
D30.3_13,beta
D30.3_14,beta
D30.3_15,gamma
D30.3_16,alpha
D30.3_17,ductal
D30.3_18,delta
D30.3_19,alpha
D30.3_2,acinar
D30.3_20,alpha
D30.3_21,gamma
D30.3_22,delta
D30.3_23,delta
D30.3_24,alpha
D30.3_25,alpha
D30.3_26,alpha
D30.3_27,alpha
D30.3_28,alpha
D30.3_29,alpha
D30.3_3,beta
D30.3_30,alpha
D30.3_31,alpha
D30.3_32,ductal
D30.3_33,alpha
D30.3_34,alpha
D30.3_35,alpha
D30.3_36,beta
D30.3_37,alpha
D30.3_38,beta
D30.3_39,mesenchymal
D30.3_4,alpha
D30.3_40,alpha
D30.3_41,alpha
D30.3_42,alpha
D30.3_43,delta
D30.3_44,alpha
D30.3_45,acinar
D30.3_46,alpha
D30.3_47,alpha
D30.3_48,alpha
D30.3_49,ductal
D30.3_5,alpha
D30.3_50,alpha
D30.3_51,beta
D30.3_52,beta
D30.3_53,beta
D30.3_54,beta
D30.3_55,beta
D30.3_56,alpha
D30.3_57,alpha
D30.3_58,beta
D30.3_59,mesenchymal
D30.3_6,mesenchymal
D30.3_60,alpha
D30.3_61,mesenchymal
D30.3_62,delta
D30.3_63,acinar
D30.3_64,alpha
D30.3_65,alpha
D30.3_67,beta
D30.3_68,alpha
D30.3_69,delta
D30.3_7,mesenchymal
D30.3_70,alpha
D30.3_71,beta
D30.3_72,mesenchymal
D30.3_73,alpha
D30.3_74,alpha
D30.3_75,delta
D30.3_76,delta
D30.3_77,beta
D30.3_78,beta
D30.3_79,alpha
D30.3_8,ductal
D30.3_80,alpha
D30.3_81,beta
D30.3_82,delta
D30.3_84,ductal
D30.3_86,alpha
D30.3_87,delta
D30.3_88,alpha
D30.3_89,beta
D30.3_9,beta
D30.3_90,ductal
D30.3_91,acinar
D30.3_92,alpha
D30.3_93,alpha
D30.3_94,endothelial
D30.4_1,beta
D30.4_10,mesenchymal
D30.4_11,alpha
D30.4_12,alpha
D30.4_13,ductal
D30.4_14,delta
D30.4_15,beta
D30.4_16,alpha
D30.4_17,delta
D30.4_18,acinar
D30.4_19,alpha
D30.4_2,beta
D30.4_20,alpha
D30.4_21,alpha
D30.4_22,delta
D30.4_23,alpha
D30.4_24,alpha
D30.4_25,alpha
D30.4_26,delta
D30.4_27,ductal
D30.4_28,delta
D30.4_29,alpha
D30.4_3,alpha
D30.4_30,mesenchymal
D30.4_31,ductal
D30.4_32,alpha
D30.4_33,beta
D30.4_34,beta
D30.4_35,mesenchymal
D30.4_36,alpha
D30.4_37,alpha
D30.4_38,ductal
D30.4_39,alpha
D30.4_40,alpha
D30.4_41,alpha
D30.4_42,ductal
D30.4_43,alpha
D30.4_44,ductal
D30.4_46,alpha
D30.4_47,alpha
D30.4_48,beta
D30.4_49,alpha
D30.4_5,delta
D30.4_50,alpha
D30.4_51,alpha
D30.4_52,alpha
D30.4_53,ductal
D30.4_54,alpha
D30.4_55,mesenchymal
D30.4_58,unclear
D30.4_59,delta
D30.4_6,alpha
D30.4_60,alpha
D30.4_61,alpha
D30.4_62,acinar
D30.4_63,alpha
D30.4_64,mesenchymal
D30.4_65,ductal
D30.4_66,alpha
D30.4_67,beta
D30.4_68,alpha
D30.4_69,alpha
D30.4_7,ductal
D30.4_71,beta
D30.4_73,alpha
D30.4_74,alpha
D30.4_75,alpha
D30.4_76,beta
D30.4_77,alpha
D30.4_78,mesenchymal
D30.4_79,beta
D30.4_8,beta
D30.4_80,delta
D30.4_81,acinar
D30.4_82,acinar
D30.4_83,beta
D30.4_85,alpha
D30.4_86,alpha
D30.4_87,alpha
D30.4_88,alpha
D30.4_9,beta
D30.4_90,beta
D30.4_91,ductal
D30.4_92,ductal
D30.4_93,ductal
D30.4_94,alpha
D30.5_10,alpha
D30.5_11,delta
D30.5_12,delta
D30.5_13,alpha
D30.5_14,alpha
D30.5_15,mesenchymal
D30.5_17,delta
D30.5_18,delta
D30.5_20,alpha
D30.5_21,beta
D30.5_22,delta
D30.5_23,alpha
D30.5_24,alpha
D30.5_26,alpha
D30.5_27,alpha
D30.5_28,alpha
D30.5_29,mesenchymal
D30.5_3,mesenchymal
D30.5_31,ductal
D30.5_32,beta
D30.5_33,alpha
D30.5_34,ductal
D30.5_35,delta
D30.5_36,acinar
D30.5_37,alpha
D30.5_38,ductal
D30.5_39,alpha
D30.5_4,mesenchymal
D30.5_40,beta
D30.5_41,ductal
D30.5_42,ductal
D30.5_43,alpha
D30.5_44,ductal
D30.5_45,acinar
D30.5_46,ductal
D30.5_48,alpha
D30.5_49,beta
D30.5_5,ductal
D30.5_50,ductal
D30.5_51,alpha
D30.5_53,alpha
D30.5_54,alpha
D30.5_55,alpha
D30.5_56,beta
D30.5_57,beta
D30.5_58,ductal
D30.5_59,mesenchymal
D30.5_61,ductal
D30.5_62,alpha
D30.5_63,alpha
D30.5_64,ductal
D30.5_65,alpha
D30.5_66,alpha
D30.5_67,alpha
D30.5_69,beta
D30.5_7,beta
D30.5_70,alpha
D30.5_71,alpha
D30.5_72,mesenchymal
D30.5_73,alpha
D30.5_74,gamma
D30.5_75,alpha
D30.5_76,delta
D30.5_78,ductal
D30.5_79,acinar
D30.5_8,alpha
D30.5_80,mesenchymal
D30.5_81,ductal
D30.5_82,delta
D30.5_83,alpha
D30.5_84,alpha
D30.5_85,delta
D30.5_88,alpha
D30.5_89,acinar
D30.5_9,ductal
D30.5_90,mesenchymal
D30.5_91,delta
D30.5_92,alpha
D30.5_93,alpha
D30.5_94,alpha
D30.6_1,alpha
D30.6_10,mesenchymal
D30.6_11,beta
D30.6_12,ductal
D30.6_13,delta
D30.6_14,beta
D30.6_15,beta
D30.6_16,alpha
D30.6_17,mesenchymal
D30.6_18,beta
D30.6_19,alpha
D30.6_2,alpha
D30.6_20,ductal
D30.6_21,beta
D30.6_22,alpha
D30.6_23,mesenchymal
D30.6_24,alpha
D30.6_25,ductal
D30.6_26,alpha
D30.6_27,mesenchymal
D30.6_28,mesenchymal
D30.6_3,mesenchymal
D30.6_30,alpha
D30.6_31,alpha
D30.6_32,alpha
D30.6_33,alpha
D30.6_34,ductal
D30.6_35,delta
D30.6_36,alpha
D30.6_37,acinar
D30.6_38,beta
D30.6_39,alpha
D30.6_4,alpha
D30.6_40,acinar
D30.6_41,alpha
D30.6_42,alpha
D30.6_44,acinar
D30.6_45,alpha
D30.6_46,alpha
D30.6_47,beta
D30.6_48,ductal
D30.6_49,delta
D30.6_5,acinar
D30.6_50,alpha
D30.6_51,alpha
D30.6_52,ductal
D30.6_53,delta
D30.6_54,beta
D30.6_55,alpha
D30.6_56,beta
D30.6_57,ductal
D30.6_58,delta
D30.6_59,beta
D30.6_6,delta
D30.6_60,beta
D30.6_61,ductal
D30.6_62,alpha
D30.6_63,alpha
D30.6_64,ductal
D30.6_65,alpha
D30.6_66,alpha
D30.6_67,alpha
D30.6_68,beta
D30.6_69,ductal
D30.6_7,alpha
D30.6_70,alpha
D30.6_71,alpha
D30.6_72,alpha
D30.6_74,alpha
D30.6_75,alpha
D30.6_76,beta
D30.6_77,ductal
D30.6_78,ductal
D30.6_79,beta
D30.6_80,acinar
D30.6_81,alpha
D30.6_82,alpha
D30.6_83,beta
D30.6_84,mesenchymal
D30.6_85,alpha
D30.6_86,ductal
D30.6_87,alpha
D30.6_88,alpha
D30.6_89,alpha
D30.6_9,alpha
D30.6_90,gamma
D30.6_91,alpha
D30.6_92,delta
D30.6_93,mesenchymal
D30.6_94,beta
D30.7_1,acinar
D30.7_10,alpha
D30.7_11,acinar
D30.7_12,alpha
D30.7_13,delta
D30.7_14,alpha
D30.7_15,ductal
D30.7_16,alpha
D30.7_17,ductal
D30.7_18,alpha
D30.7_2,alpha
D30.7_20,acinar
D30.7_21,beta
D30.7_22,beta
D30.7_23,delta
D30.7_24,acinar
D30.7_25,alpha
D30.7_26,alpha
D30.7_28,acinar
D30.7_29,delta
D30.7_3,beta
D30.7_30,mesenchymal
