,Cell,assigned_cluster
169,human4_lib1.final_cell_0170,beta
170,human4_lib1.final_cell_0171,alpha
171,human4_lib1.final_cell_0172,beta
172,human4_lib1.final_cell_0173,beta
173,human4_lib1.final_cell_0174,beta
174,human4_lib1.final_cell_0175,beta
175,human4_lib1.final_cell_0176,delta
176,human4_lib1.final_cell_0177,beta
177,human4_lib1.final_cell_0178,ductal
178,human4_lib1.final_cell_0179,gamma
179,human4_lib1.final_cell_0180,delta
180,human4_lib1.final_cell_0181,ductal
181,human4_lib1.final_cell_0182,alpha
182,human4_lib1.final_cell_0183,ductal
183,human4_lib1.final_cell_0184,alpha
184,human4_lib1.final_cell_0185,alpha
185,human4_lib1.final_cell_0186,delta
186,human4_lib1.final_cell_0187,alpha
187,human4_lib1.final_cell_0188,beta
188,human4_lib1.final_cell_0189,delta
189,human4_lib1.final_cell_0190,alpha
190,human4_lib1.final_cell_0191,alpha
191,human4_lib1.final_cell_0192,delta
192,human4_lib1.final_cell_0193,beta
193,human4_lib1.final_cell_0194,beta
194,human4_lib1.final_cell_0195,alpha
195,human4_lib1.final_cell_0196,gamma
196,human4_lib1.final_cell_0197,beta
197,human4_lib1.final_cell_0198,beta
198,human4_lib1.final_cell_0199,gamma
199,human4_lib1.final_cell_0200,delta
200,human4_lib1.final_cell_0201,ductal
201,human4_lib1.final_cell_0202,beta
202,human4_lib1.final_cell_0203,alpha
203,human4_lib1.final_cell_0204,delta
204,human4_lib1.final_cell_0205,beta
205,human4_lib1.final_cell_0206,beta
206,human4_lib1.final_cell_0207,alpha
207,human4_lib1.final_cell_0208,ductal
208,human4_lib1.final_cell_0209,ductal
209,human4_lib1.final_cell_0210,beta
210,human4_lib1.final_cell_0211,alpha
211,human4_lib1.final_cell_0212,ductal
212,human4_lib1.final_cell_0213,activated_stellate
213,human4_lib1.final_cell_0214,alpha
214,human4_lib1.final_cell_0215,beta
215,human4_lib1.final_cell_0216,alpha
216,human4_lib1.final_cell_0217,ductal
217,human4_lib1.final_cell_0218,beta
218,human4_lib1.final_cell_0219,beta
219,human4_lib1.final_cell_0220,ductal
220,human4_lib1.final_cell_0221,beta
221,human4_lib1.final_cell_0222,beta
222,human4_lib1.final_cell_0223,ductal
223,human4_lib1.final_cell_0224,beta
224,human4_lib1.final_cell_0225,beta
225,human4_lib1.final_cell_0226,beta
226,human4_lib1.final_cell_0227,beta
227,human4_lib1.final_cell_0228,alpha
228,human4_lib1.final_cell_0229,delta
229,human4_lib1.final_cell_0230,alpha
230,human4_lib1.final_cell_0231,macrophage
231,human4_lib1.final_cell_0232,alpha
232,human4_lib1.final_cell_0233,alpha
233,human4_lib1.final_cell_0234,beta
234,human4_lib1.final_cell_0235,activated_stellate
235,human4_lib1.final_cell_0236,beta
236,human4_lib1.final_cell_0237,beta
237,human4_lib1.final_cell_0238,ductal
238,human4_lib1.final_cell_0239,ductal
239,human4_lib1.final_cell_0240,gamma
240,human4_lib1.final_cell_0241,beta
241,human4_lib1.final_cell_0242,ductal
242,human4_lib1.final_cell_0243,beta
243,human4_lib1.final_cell_0244,beta
244,human4_lib1.final_cell_0245,beta
245,human4_lib1.final_cell_0246,beta
246,human4_lib1.final_cell_0247,beta
247,human4_lib1.final_cell_0248,alpha
248,human4_lib1.final_cell_0249,delta
249,human4_lib1.final_cell_0250,alpha
250,human4_lib1.final_cell_0251,ductal
251,human4_lib1.final_cell_0252,ductal
252,human4_lib1.final_cell_0253,beta
253,human4_lib1.final_cell_0254,alpha
254,human4_lib1.final_cell_0255,alpha
255,human4_lib1.final_cell_0256,ductal
256,human4_lib1.final_cell_0257,ductal
257,human4_lib1.final_cell_0258,alpha
258,human4_lib1.final_cell_0259,alpha
259,human4_lib1.final_cell_0260,ductal
260,human4_lib1.final_cell_0261,beta
261,human4_lib1.final_cell_0262,beta
262,human4_lib1.final_cell_0263,alpha
263,human4_lib1.final_cell_0264,ductal
264,human4_lib1.final_cell_0265,gamma
265,human4_lib1.final_cell_0266,beta
266,human4_lib1.final_cell_0267,delta
267,human4_lib1.final_cell_0268,gamma
268,human4_lib1.final_cell_0269,beta
269,human4_lib1.final_cell_0270,ductal
270,human4_lib1.final_cell_0271,ductal
271,human4_lib1.final_cell_0272,beta
272,human4_lib1.final_cell_0273,ductal
273,human4_lib1.final_cell_0274,beta
274,human4_lib1.final_cell_0275,alpha
275,human4_lib1.final_cell_0276,beta
276,human4_lib1.final_cell_0277,beta
277,human4_lib1.final_cell_0278,beta
278,human4_lib1.final_cell_0279,alpha
279,human4_lib1.final_cell_0280,beta
280,human4_lib1.final_cell_0281,alpha
281,human4_lib1.final_cell_0282,beta
282,human4_lib1.final_cell_0283,beta
283,human4_lib1.final_cell_0284,alpha
284,human4_lib1.final_cell_0285,ductal
285,human4_lib1.final_cell_0286,alpha
286,human4_lib1.final_cell_0287,ductal
287,human4_lib1.final_cell_0288,beta
288,human4_lib1.final_cell_0289,alpha
289,human4_lib1.final_cell_0290,beta
290,human4_lib1.final_cell_0291,beta
291,human4_lib1.final_cell_0292,beta
292,human4_lib1.final_cell_0293,beta
293,human4_lib1.final_cell_0294,alpha
294,human4_lib1.final_cell_0295,macrophage
295,human4_lib1.final_cell_0296,alpha
296,human4_lib1.final_cell_0297,delta
297,human4_lib1.final_cell_0298,gamma
298,human4_lib1.final_cell_0299,beta
299,human4_lib1.final_cell_0300,beta
300,human4_lib1.final_cell_0301,delta
301,human4_lib1.final_cell_0302,ductal
302,human4_lib1.final_cell_0303,ductal
303,human4_lib1.final_cell_0304,beta
304,human4_lib1.final_cell_0305,beta
305,human4_lib1.final_cell_0306,alpha
306,human4_lib1.final_cell_0307,beta
307,human4_lib1.final_cell_0308,alpha
308,human4_lib1.final_cell_0309,activated_stellate
309,human4_lib1.final_cell_0310,alpha
310,human4_lib1.final_cell_0311,gamma
311,human4_lib1.final_cell_0312,delta
312,human4_lib1.final_cell_0313,beta
313,human4_lib1.final_cell_0314,alpha
314,human4_lib1.final_cell_0315,alpha
315,human4_lib1.final_cell_0316,beta
316,human4_lib1.final_cell_0317,delta
317,human4_lib1.final_cell_0318,delta
318,human4_lib1.final_cell_0319,delta
319,human4_lib1.final_cell_0320,alpha
320,human4_lib1.final_cell_0321,beta
321,human4_lib1.final_cell_0322,beta
322,human4_lib1.final_cell_0323,activated_stellate
323,human4_lib1.final_cell_0324,ductal
324,human4_lib1.final_cell_0325,beta
325,human4_lib1.final_cell_0326,epsilon
326,human4_lib1.final_cell_0327,alpha
327,human4_lib1.final_cell_0328,gamma
328,human4_lib1.final_cell_0329,gamma
329,human4_lib1.final_cell_0330,beta
330,human4_lib1.final_cell_0331,gamma
331,human4_lib1.final_cell_0332,alpha
332,human4_lib1.final_cell_0333,alpha
333,human4_lib1.final_cell_0334,beta
334,human4_lib1.final_cell_0335,alpha
335,human4_lib1.final_cell_0336,ductal
336,human4_lib1.final_cell_0337,delta
337,human4_lib1.final_cell_0338,alpha
338,human4_lib1.final_cell_0339,beta
339,human4_lib1.final_cell_0340,beta
340,human4_lib1.final_cell_0341,alpha
341,human4_lib1.final_cell_0342,beta
342,human4_lib1.final_cell_0343,ductal
343,human4_lib1.final_cell_0344,alpha
344,human4_lib1.final_cell_0345,alpha
345,human4_lib1.final_cell_0346,ductal
346,human4_lib1.final_cell_0347,delta
347,human4_lib1.final_cell_0348,beta
348,human4_lib1.final_cell_0349,macrophage
349,human4_lib1.final_cell_0350,alpha
350,human4_lib1.final_cell_0351,ductal
351,human4_lib1.final_cell_0352,beta
352,human4_lib1.final_cell_0353,alpha
353,human4_lib1.final_cell_0354,activated_stellate
354,human4_lib1.final_cell_0355,ductal
355,human4_lib1.final_cell_0356,beta
356,human4_lib1.final_cell_0357,alpha
357,human4_lib1.final_cell_0358,beta
358,human4_lib1.final_cell_0359,beta
359,human4_lib1.final_cell_0360,ductal
360,human4_lib1.final_cell_0361,endothelial
361,human4_lib1.final_cell_0362,ductal
362,human4_lib1.final_cell_0363,alpha
363,human4_lib1.final_cell_0364,ductal
364,human4_lib1.final_cell_0365,gamma
365,human4_lib1.final_cell_0366,beta
366,human4_lib1.final_cell_0367,activated_stellate
367,human4_lib1.final_cell_0368,beta
368,human4_lib1.final_cell_0369,alpha
369,human4_lib1.final_cell_0370,alpha
370,human4_lib1.final_cell_0371,activated_stellate
371,human4_lib1.final_cell_0372,ductal
372,human4_lib1.final_cell_0373,alpha
373,human4_lib1.final_cell_0374,beta
374,human4_lib1.final_cell_0375,beta
375,human4_lib1.final_cell_0376,alpha
376,human4_lib1.final_cell_0377,delta
377,human4_lib1.final_cell_0378,beta
378,human4_lib1.final_cell_0379,ductal
379,human4_lib1.final_cell_0380,beta
380,human4_lib1.final_cell_0381,beta
381,human4_lib1.final_cell_0382,beta
382,human4_lib1.final_cell_0383,beta
383,human4_lib1.final_cell_0384,alpha
384,human4_lib1.final_cell_0385,beta
385,human4_lib1.final_cell_0386,alpha
386,human4_lib1.final_cell_0387,delta
387,human4_lib1.final_cell_0388,gamma
388,human4_lib1.final_cell_0389,beta
389,human4_lib1.final_cell_0390,beta
390,human4_lib1.final_cell_0391,alpha
391,human4_lib1.final_cell_0392,alpha
392,human4_lib1.final_cell_0393,delta
393,human4_lib1.final_cell_0394,alpha
394,human4_lib1.final_cell_0395,gamma
395,human4_lib1.final_cell_0396,beta
396,human4_lib1.final_cell_0397,beta
397,human4_lib1.final_cell_0398,beta
398,human4_lib1.final_cell_0399,ductal
399,human4_lib1.final_cell_0400,activated_stellate
400,human4_lib1.final_cell_0401,beta
401,human4_lib1.final_cell_0402,ductal
402,human4_lib1.final_cell_0403,beta
403,human4_lib1.final_cell_0404,beta
404,human4_lib1.final_cell_0405,beta
405,human4_lib1.final_cell_0406,delta
406,human4_lib1.final_cell_0407,beta
407,human4_lib1.final_cell_0408,alpha
408,human4_lib1.final_cell_0409,beta
409,human4_lib1.final_cell_0410,beta
410,human4_lib1.final_cell_0411,beta
411,human4_lib1.final_cell_0412,beta
412,human4_lib1.final_cell_0413,ductal
413,human4_lib1.final_cell_0414,beta
414,human4_lib1.final_cell_0415,beta
415,human4_lib1.final_cell_0416,alpha
416,human4_lib1.final_cell_0417,beta
417,human4_lib1.final_cell_0418,beta
418,human4_lib1.final_cell_0419,delta
419,human4_lib1.final_cell_0420,ductal
420,human4_lib1.final_cell_0421,alpha
421,human4_lib1.final_cell_0422,ductal
422,human4_lib1.final_cell_0423,beta
423,human4_lib1.final_cell_0424,alpha
424,human4_lib1.final_cell_0425,endothelial
425,human4_lib1.final_cell_0426,beta
426,human4_lib1.final_cell_0427,beta
427,human4_lib1.final_cell_0428,alpha
428,human4_lib1.final_cell_0429,beta
429,human4_lib1.final_cell_0430,beta
430,human4_lib1.final_cell_0431,beta
431,human4_lib1.final_cell_0432,beta
432,human4_lib1.final_cell_0433,beta
433,human4_lib1.final_cell_0434,beta
434,human4_lib1.final_cell_0435,alpha
435,human4_lib1.final_cell_0436,beta
436,human4_lib1.final_cell_0437,beta
437,human4_lib1.final_cell_0438,ductal
438,human4_lib1.final_cell_0439,ductal
439,human4_lib1.final_cell_0440,activated_stellate
440,human4_lib1.final_cell_0441,alpha
441,human4_lib1.final_cell_0442,alpha
442,human4_lib1.final_cell_0443,alpha
443,human4_lib1.final_cell_0444,beta
444,human4_lib1.final_cell_0445,beta
445,human4_lib1.final_cell_0446,ductal
446,human4_lib1.final_cell_0447,activated_stellate
447,human4_lib1.final_cell_0448,alpha
448,human4_lib1.final_cell_0449,gamma
449,human4_lib1.final_cell_0450,quiescent_stellate
450,human4_lib1.final_cell_0451,beta
451,human4_lib1.final_cell_0452,ductal
452,human4_lib1.final_cell_0453,delta
453,human4_lib1.final_cell_0454,beta
454,human4_lib1.final_cell_0455,ductal
455,human4_lib1.final_cell_0456,beta
456,human4_lib1.final_cell_0457,alpha
457,human4_lib1.final_cell_0458,gamma
458,human4_lib1.final_cell_0459,beta
459,human4_lib1.final_cell_0460,alpha
460,human4_lib1.final_cell_0461,beta
461,human4_lib1.final_cell_0462,ductal
462,human4_lib1.final_cell_0463,beta
463,human4_lib1.final_cell_0464,gamma
464,human4_lib1.final_cell_0465,beta
465,human4_lib1.final_cell_0466,ductal
466,human4_lib1.final_cell_0467,beta
467,human4_lib1.final_cell_0468,ductal
468,human4_lib1.final_cell_0469,ductal
469,human4_lib1.final_cell_0470,gamma
470,human4_lib1.final_cell_0471,activated_stellate
471,human4_lib1.final_cell_0472,alpha
472,human4_lib1.final_cell_0473,alpha
473,human4_lib1.final_cell_0474,beta
474,human4_lib1.final_cell_0475,beta
475,human4_lib1.final_cell_0476,beta
476,human4_lib1.final_cell_0477,alpha
477,human4_lib1.final_cell_0478,beta
478,human4_lib1.final_cell_0479,alpha
479,human4_lib1.final_cell_0480,alpha
480,human4_lib1.final_cell_0481,alpha
481,human4_lib1.final_cell_0482,beta
482,human4_lib1.final_cell_0483,alpha
483,human4_lib1.final_cell_0484,gamma
484,human4_lib1.final_cell_0485,endothelial
485,human4_lib1.final_cell_0486,beta
486,human4_lib1.final_cell_0487,alpha
487,human4_lib1.final_cell_0488,gamma
488,human4_lib1.final_cell_0489,beta
489,human4_lib1.final_cell_0490,beta
490,human4_lib1.final_cell_0491,beta
491,human4_lib1.final_cell_0492,ductal
492,human4_lib1.final_cell_0493,activated_stellate
493,human4_lib1.final_cell_0494,delta
494,human4_lib1.final_cell_0495,activated_stellate
495,human4_lib1.final_cell_0496,ductal
496,human4_lib1.final_cell_0497,beta
497,human4_lib1.final_cell_0498,alpha
498,human4_lib1.final_cell_0499,beta
499,human4_lib1.final_cell_0500,beta
500,human4_lib1.final_cell_0501,beta
501,human4_lib1.final_cell_0502,beta
502,human4_lib1.final_cell_0503,beta
503,human4_lib1.final_cell_0504,beta
504,human4_lib1.final_cell_0505,gamma
505,human4_lib1.final_cell_0506,activated_stellate
506,human4_lib1.final_cell_0507,ductal
507,human4_lib1.final_cell_0508,alpha
508,human4_lib1.final_cell_0509,beta
509,human4_lib1.final_cell_0510,beta
510,human4_lib1.final_cell_0511,alpha
511,human4_lib1.final_cell_0512,beta
512,human4_lib1.final_cell_0513,beta
513,human4_lib1.final_cell_0514,beta
514,human4_lib1.final_cell_0515,beta
515,human4_lib1.final_cell_0516,beta
516,human4_lib1.final_cell_0517,gamma
517,human4_lib1.final_cell_0518,alpha
518,human4_lib1.final_cell_0519,alpha
519,human4_lib1.final_cell_0520,ductal
520,human4_lib1.final_cell_0521,beta
521,human4_lib1.final_cell_0522,beta
522,human4_lib1.final_cell_0523,beta
523,human4_lib1.final_cell_0524,beta
524,human4_lib1.final_cell_0525,beta
525,human4_lib1.final_cell_0526,ductal
526,human4_lib1.final_cell_0527,beta
527,human4_lib1.final_cell_0528,ductal
528,human4_lib1.final_cell_0529,beta
529,human4_lib1.final_cell_0530,delta
530,human4_lib1.final_cell_0531,beta
531,human4_lib1.final_cell_0532,beta
532,human4_lib1.final_cell_0533,delta
533,human4_lib1.final_cell_0534,ductal
534,human4_lib1.final_cell_0535,beta
535,human4_lib1.final_cell_0536,alpha
536,human4_lib1.final_cell_0537,beta
537,human4_lib1.final_cell_0538,beta
538,human4_lib1.final_cell_0539,beta
539,human4_lib1.final_cell_0540,ductal
540,human4_lib1.final_cell_0541,alpha
541,human4_lib1.final_cell_0542,beta
542,human4_lib1.final_cell_0543,beta
543,human4_lib1.final_cell_0544,ductal
544,human4_lib1.final_cell_0545,alpha
545,human4_lib1.final_cell_0546,beta
546,human4_lib1.final_cell_0547,alpha
547,human4_lib1.final_cell_0548,activated_stellate
548,human4_lib1.final_cell_0549,activated_stellate
549,human4_lib1.final_cell_0550,delta
550,human4_lib1.final_cell_0551,beta
551,human4_lib1.final_cell_0552,beta
552,human4_lib1.final_cell_0553,beta
553,human4_lib1.final_cell_0554,ductal
554,human4_lib1.final_cell_0555,beta
555,human4_lib1.final_cell_0556,ductal
556,human4_lib1.final_cell_0557,beta
557,human4_lib1.final_cell_0558,alpha
558,human4_lib1.final_cell_0559,ductal
559,human4_lib1.final_cell_0560,alpha
560,human4_lib1.final_cell_0561,gamma
561,human4_lib1.final_cell_0562,alpha
562,human4_lib1.final_cell_0563,beta
563,human4_lib1.final_cell_0564,ductal
564,human4_lib1.final_cell_0565,beta
565,human4_lib1.final_cell_0566,ductal
566,human4_lib1.final_cell_0567,beta
567,human4_lib1.final_cell_0568,t_cell
568,human4_lib1.final_cell_0569,alpha
569,human4_lib1.final_cell_0570,gamma
570,human4_lib1.final_cell_0571,delta
571,human4_lib1.final_cell_0572,endothelial
572,human4_lib1.final_cell_0573,alpha
573,human4_lib1.final_cell_0574,alpha
574,human4_lib1.final_cell_0575,gamma
575,human4_lib1.final_cell_0576,beta
576,human4_lib1.final_cell_0577,beta
577,human4_lib1.final_cell_0578,quiescent_stellate
578,human4_lib1.final_cell_0579,macrophage
579,human4_lib1.final_cell_0580,gamma
580,human4_lib1.final_cell_0581,alpha
581,human4_lib1.final_cell_0582,beta
582,human4_lib1.final_cell_0583,beta
583,human4_lib1.final_cell_0584,ductal
584,human4_lib1.final_cell_0585,ductal
585,human4_lib1.final_cell_0586,beta
586,human4_lib1.final_cell_0587,beta
587,human4_lib1.final_cell_0588,alpha
588,human4_lib1.final_cell_0589,beta
589,human4_lib1.final_cell_0590,ductal
590,human4_lib1.final_cell_0591,alpha
591,human4_lib1.final_cell_0592,ductal
592,human4_lib1.final_cell_0593,alpha
593,human4_lib1.final_cell_0594,activated_stellate
594,human4_lib1.final_cell_0595,ductal
595,human4_lib1.final_cell_0596,ductal
596,human4_lib1.final_cell_0597,beta
597,human4_lib1.final_cell_0598,beta
598,human4_lib1.final_cell_0599,ductal
599,human4_lib1.final_cell_0600,ductal
600,human4_lib1.final_cell_0601,ductal
601,human4_lib1.final_cell_0602,ductal
602,human4_lib3.final_cell_0001,beta
603,human4_lib3.final_cell_0002,delta
604,human4_lib3.final_cell_0003,delta
605,human4_lib3.final_cell_0004,beta
606,human4_lib3.final_cell_0005,ductal
607,human4_lib3.final_cell_0006,ductal
608,human4_lib3.final_cell_0007,beta
609,human4_lib3.final_cell_0008,ductal
610,human4_lib3.final_cell_0009,ductal
611,human4_lib3.final_cell_0010,beta
612,human4_lib3.final_cell_0011,ductal
613,human4_lib3.final_cell_0012,beta
614,human4_lib3.final_cell_0013,ductal
615,human4_lib3.final_cell_0014,ductal
616,human4_lib3.final_cell_0015,ductal
617,human4_lib3.final_cell_0016,beta
618,human4_lib3.final_cell_0017,ductal
619,human4_lib3.final_cell_0018,delta
620,human4_lib3.final_cell_0019,alpha
621,human4_lib3.final_cell_0020,ductal
622,human4_lib3.final_cell_0021,ductal
623,human4_lib3.final_cell_0022,ductal
624,human4_lib3.final_cell_0023,activated_stellate
625,human4_lib3.final_cell_0024,beta
626,human4_lib3.final_cell_0025,beta
627,human4_lib3.final_cell_0026,delta
628,human4_lib3.final_cell_0027,beta
629,human4_lib3.final_cell_0028,ductal
630,human4_lib3.final_cell_0029,beta
631,human4_lib3.final_cell_0030,delta
632,human4_lib3.final_cell_0031,ductal
633,human4_lib3.final_cell_0032,alpha
634,human4_lib3.final_cell_0033,delta
635,human4_lib3.final_cell_0034,beta
636,human4_lib3.final_cell_0035,ductal
637,human4_lib3.final_cell_0036,delta
638,human4_lib3.final_cell_0037,beta
639,human4_lib3.final_cell_0038,ductal
640,human4_lib3.final_cell_0039,delta
641,human4_lib3.final_cell_0040,beta
642,human4_lib3.final_cell_0041,beta
643,human4_lib3.final_cell_0042,beta
644,human4_lib3.final_cell_0043,ductal
645,human4_lib3.final_cell_0044,ductal
646,human4_lib3.final_cell_0045,ductal
647,human4_lib3.final_cell_0046,ductal
648,human4_lib3.final_cell_0047,delta
649,human4_lib3.final_cell_0048,alpha
650,human4_lib3.final_cell_0049,ductal
651,human4_lib3.final_cell_0050,delta
652,human4_lib3.final_cell_0051,beta
653,human4_lib3.final_cell_0052,beta
654,human4_lib3.final_cell_0053,delta
655,human4_lib3.final_cell_0054,ductal
656,human4_lib3.final_cell_0055,ductal
657,human4_lib3.final_cell_0056,delta
658,human4_lib3.final_cell_0057,ductal
659,human4_lib3.final_cell_0058,delta
660,human4_lib3.final_cell_0059,activated_stellate
661,human4_lib3.final_cell_0060,alpha
662,human4_lib3.final_cell_0061,beta
663,human4_lib3.final_cell_0062,ductal
664,human4_lib3.final_cell_0063,ductal
665,human4_lib3.final_cell_0064,macrophage
666,human4_lib3.final_cell_0065,beta
667,human4_lib3.final_cell_0066,beta
668,human4_lib3.final_cell_0067,beta
669,human4_lib3.final_cell_0068,beta
670,human4_lib3.final_cell_0069,ductal
671,human4_lib3.final_cell_0070,delta
672,human4_lib3.final_cell_0071,ductal
673,human4_lib3.final_cell_0072,activated_stellate
674,human4_lib3.final_cell_0073,alpha
